titles,code
The Impact of MIREX on Scholarly Research (2005 - 2010).,
An Emotion Model for Music Using Brain Waves.,
Music Structure Analysis by Ridge Regression of Beat-synchronous Audio Features.,
Score-Informed Leading Voice Separation from Monaural Audio.,
On Measuring Syncopation to Drive an Interactive Music System.,
Current Challenges in the Evaluation of Predominant Melody Extraction Algorithms.,
Improving Audio Chord Transcription by Exploiting Harmonic and Metric Knowledge.,
Reducing Tempo Octave Errors by Periodicity Vector Coding And SVM Learning.,
Context-free 2D Tree Structure Model of Musical Notes for Bayesian Modeling of Polyphonic Spectrograms.,
Compressing Music Recordings into Audio Summaries.,
Second Fiddle is Important Too: Pitch Tracking Individual Voices in Polyphonic Music.,
Feature Learning in Dynamic Environments: Modeling the Acoustic Structure of Musical Emotion.,
User-centered Measures vs. System Effectiveness in Finding Similar Songs.,
Towards Time-resilient MIR Processes.,
Hypergraph Models of Playlist Dialects.,
Learning to Embed Songs and Tags for Playlist Prediction.,True
Extracting Semantic Information from an Online Carnatic Music Forum.,True
Ranking Lyrics for Online Search.,
The Role Of Music in the Lives of Homeless Young People: A Preliminary Report.,
A Survey on Music Listening and Management Behaviours.,
Automatic Music Transcription: Breaking the Glass Ceiling.,
Putting the User in the Center of Music Information Retrieval.,
The Impact (or Non-impact) of User Studies in Music Information Retrieval.,
Mel Cepstrum &amp; Ann Ova: The Difficult Dialog Between MIR and Music Cognition.,
Moving Beyond Feature Design: Deep Architectures and Automatic Feature Learning in Music Informatics.,
"Reuse, Remix, Repeat: the Workflows of MIR.",
Multi-Template Shift-Variant Non-Negative Matrix Deconvolution for Semi-Automatic Music Transcription.,True
Tracking Melodic Patterns in Flamenco Singing by Analyzing Polyphonic Music Recordings.,
A Cross-version Approach for Stabilizing Tempo-based Novelty Detection.,
Fast Identification of Piece and Score Position via Symbolic Fingerprinting.,
"A Multimedia Search and Navigation Prototype, Including Music and Video-clips.",
Chord Recognition Using Duration-explicit Hidden Markov Models.,
Finding Repeating Stanzas in Folk Songs.,
Detecting Episodes with Harmonic Sequences for Fugue Analysis.,
Inferring Chord Sequence Meanings via Lyrics: Process and Evaluation.,True
Facilitating Comprehensive Benchmarking Experiments on the Million Song Dataset.,
Decoding Tempo and Timing Variations in Music Recordings from Beat Annotations.,
Unsupervised Chord-Sequence Generation from an Audio Example.,
Listening Level Changes Music Similarity.,
Pitch Content Visualization Tools for Music Performance Analysis.,
A Multipitch Approach to Tonic Identification in Indian Classical Music.,
Separating Presentation and Content in MEI.,
A Study of Intonation in Three-Part Singing using the Automatic Music Performance Analysis and Comparison Toolkit (AMPACT).,
Influence of Peak Selection Methods on Onset Detection.,
Evaluation of Musical Features for Emotion Classification.,
BLAST for Audio Sequences Alignment: A Fast Scalable Cover Identification Tool.,
A Cross-cultural Study of Music Mood Perception between American and Chinese Listeners.,
Shortest Path Techniques for Annotation and Retrieval of Environmental Sounds.,
Multivariate Autoregressive Mixture Models for Music Auto-Tagging.,
Building Musically-relevant Audio Features through Multiple Timescale Representations.,
A Comparison of Sound Segregation Techniques for Predominant Instrument Recognition in Musical Audio Signals.,
Learning Sparse Feature Representations for Music Annotation and Retrieval.,
Score Analyzer: Automatically Determining Scores Difficulty Level for Instrumental e-Learning.,
Digital Document Image Retrieval Using Optical Music Recognition.,
Music/Voice Separation Using the Similarity Matrix.,
Breathy or Resonant - A Controlled and Curated Dataset for Phonation Mode Detection in Singing.,
Robust Singer Identification in Polyphonic Music using Melody Enhancement and Uncertainty-based Learning.,True
Predominant Fundamental Frequency Estimation vs Singing Voice Separation for the Automatic Transcription of Accompanied Flamenco Singing.,
