titles,code
Identifying Polyphonic Musical Patterns From Audio Recordings Using Music Segmentation Techniques.,
Boundary Detection in Music Structure Analysis using Convolutional Neural Networks.,
"Tracking the ""Odd"": Meter Inference in a Culturally Diverse Music Corpus.",True
Transcription and Recognition of Syllable based Percussion Patterns: The Case of Beijing Opera.,
Taste Space Versus the World: an Embedding Analysis of Listening Habits and Geography.,
Enhancing Collaborative Filtering Music Recommendation by Balancing Exploration and Exploitation.,
Improving Music Recommender Systems: What Can We Learn from Research on Music Tastes?,
Social Music in Cars.,
A Combined Thematic and Acoustic Approach for a Music Recommendation Service in TV Commercials.,
Are Poetry and Lyrics All That Different?,
Singing-Voice Separation from Monaural Recordings using Deep Recurrent Neural Networks.,
Impact of Listening Behavior on Music Recommendation.,
Towards Seamless Network Music Performance: Predicting an Ensemble's Expressive Decisions for Distributed Performance.,
Detection of Motor Changes in Violin Playing by EMG Signals.,
Automatic Key Partition Based on Tonal Organization Information of Classical Music.,
Bayesian Singing-Voice Separation.,
Probabilistic Extraction of Beat Positions from a Beat Activation Function.,
Geographical Region Mapping Scheme Based on Musical Preferences.,
On Comparative Statistics for Labelling Tasks: What can We Learn from MIREX ACE 2013?,
Merged-Output HMM for Piano Fingering of Both Hands.,
Modeling Rhythm Similarity for Electronic Dance Music.,
MuSe: A Music Recommendation Management System.,
Tempo- and Transposition-invariant Identification of Piece and Score Position.,
Gender Identification and Age Estimation of Users Based on Music Metadata.,
Information-Theoretic Measures of Music Listening Behaviour.,True
Evaluation Framework for Automatic Singing Transcription.,
What is the Effect of Audio Quality on the Robustness of MFCCs and Chroma Features?,
Music Information Behaviors and System Preferences of University Students in Hong Kong.,
LyricsRadar: A Lyrics Retrieval System Based on Latent Topics of Lyrics.,
JAMS: A JSON Annotated Music Specification for Reproducible MIR Research.,
On The Changing Regulations of Privacy and Personal Information in MIR.,
A Multi-model Approach to Beat Tracking Considering Heterogeneous Music Styles.,
Extending Harmonic-Percussive Separation of Audio Signals.,
Singing Voice Separation Using Spectro-Temporal Modulation Features.,
Harmonic-Temporal Factor Decomposition Incorporating Music Prior Information for Informed Monaural Source Separation.,
Design And Evaluation of Onset Detectors using Different Fusion Policies.,
Evaluating the Evaluation Measures for Beat Tracking.,
Improving Rhythmic Transcriptions via Probability Models Applied Post-OMR.,
Classifying EEG Recordings of Rhythm Perception.,True
"Ten Years of MIREX (Music Information Retrieval Evaluation eXchange): Reflections, Challenges and Opportunities.",
