titles,code
Multi-Pitch Detection and Voice Assignment for A Cappella Recordings of Multiple Singers.,
Onset Detection in Composition Items of Carnatic Music.,
Song2Guitar: A Difficulty-Aware Arrangement System for Generating Guitar Solo Covers from Polyphonic Audio of Popular Music.,
The SEILS Dataset: Symbolically Encoded Scores in Modern-Early Notation for Computational Musicology.,
"""I'm at #Osheaga!"": Listening to the Backchannel of a Music Festival on Twitter.",
A Database Linking Piano and Orchestral MIDI Scores with Application to Automatic Projective Orchestration.,True
Analysis of Interactive Intonation in Unaccompanied SATB Ensembles.,True
Automatic Drum Transcription for Polyphonic Recordings Using Soft Attention Mechanisms and Convolutional Neural Networks.,True
Automatic Drum Transcription Using the Student-Teacher Learning Paradigm with Unlabeled Music Data.,True
Chord Generation from Symbolic Melody Using BLSTM Networks.,
Cover Song Identification with Metric Learning Using Distance as a Feature.,
Examining Musical Meaning in Similarity Thresholds.,
Exploring Tonal-Dramatic Relationships in Richard Wagner's Ring Cycle.,
Feature Discovery for Sequential Prediction of Monophonic Music.,
Generating Nontrivial Melodies for Music as a Service.,
Geographical Origin Prediction of Folk Music Recordings from the United Kingdom.,
In Search of the Consensus Among Musical Pattern Discovery Algorithms.,True
Informed Automatic Meter Analysis of Music Recordings.,
Intelligibility of Sung Lyrics: A Pilot Study.,
Lyrics-Based Music Genre Classification Using a Hierarchical Attention Network.,True
Metrical-Accent Aware Vocal Onset Detection in Polyphonic Audio.,True
Mining Labeled Data from Web-Scale Collections for Vocal Activity Detection in Music.,
Multi-Part Pattern Analysis: Combining Structure Analysis and Source Separation to Discover Intra-Part Repeated Sequences.,
"One-Step Detection of Background, Staff Lines, and Symbols in Medieval Music Manuscripts with Convolutional Neural Networks.",
Optical Music Recognition with Convolutional Sequence-to-Sequence Models.,
Re-Visiting the Music Segmentation Problem with Crowdsourcing.,True
Singing Voice Separation with Deep U-Net Convolutional Networks.,
Sketching Sonata Form Structure in Selected Classical String Quartets.,
