titles,code
"Jazz Solo Instrument Classification with Convolutional Neural Networks, Source Separation, and Transfer Learning",
Aligned Sub-Hierarchies: A Structure-based Approach to the Cover Song Task,
Audio-to-Score Alignment using Transposition-invariant Features,1.0
Semi-supervised Lyrics and Solo-singing Alignment,
Concert Stitch: Organization and Synchronization of Crowd Sourced Recordings,
A Data-driven Approach to Mid-level Perceptual Musical Feature Modeling,
Disambiguating Music Artists at Scale with Audio Metric Learning,1.0
Driftin' Down the Scale: Dynamic Time Warping in the Presence of Pitch Drift and Transpositions,
End-to-end Learning for Music Audio Tagging at Scale,1.0
Audio Based Disambiguation of Music Genre Tags,1.0
Learning Domain-Adaptive Latent Representations of Music Signals Using Variational Autoencoders,1.0
Learning Interval Representations from Polyphonic Music Sequences,1.0
Influences on the Social Practices Surrounding Commercial Music Services: A Model for Rich Interactions,
Investigating Cross-Country Relationship between Users' Social Ties and Music Mainstreaminess,
Listener Anonymizer: Camouflaging Play Logs to Preserve User's Demographic Anonymity,
On the Impact of Music on Decision Making in Cooperative Tasks,
VenueRank: Identifying Venues that Contribute to Artist Popularity,
The Many Faces of Users: Modeling Musical Preference,
Representation Learning of Music Using Artist Labels,1.0
StructureNet: Inducing Structure in Generated Melodies,
Summarizing and Comparing Music Data and Its Application on Cover Song Identification,
Transferring the Style of Homophonic Music Using Recurrent Neural Networks and Autoregressive Model,1.0
MIDI-VAE: Modeling Dynamics and Instrumentation of Music with Applications to Style Transfer,1.0
Understanding a Deep Machine Listening Model Through Feature Inversion,1.0
Comparing RNN Parameters for Melodic Similarity,
Visualization of Audio Data Using Stacked Graphs,
Two Web Applications for Exploring Melodic Patterns in Jazz Solos,
"Learning to Listen, Read, and Follow: Score Following as a Reinforcement Learning Game",1.0
Matrix Co-Factorization for Cold-Start Recommendation,
