titles,code
Sparse Signal Decomposition on Hybrid Dictionaries Using Musical Priors.,
Music Genre Classification using Similarity Functions.,
New Trends in Musical Genre Classification Using Optimum-Path Forest.,
Combining Content-Based Auto-Taggers with Decision-Fusion.,
Music Tagging with Regularized Logistic Regression.,
An Empirical Study of Multi-Label Classifiers for Music Tag Annotation.,
Semantic Annotation and Retrieval of Music using a Bag of Systems Representation.,
Temporal Pooling and Multiscale Learning for Automatic Annotation and Ranking of Music Audio.,
Music Mood Classification of Television Theme Tunes.,
Musical Moods: A Mass Participation Experiment for Affective Classification of Music.,
Modeling Dynamic Patterns for Emotional Content in Music.,
Identifying Emotion Segments in Music by Discovering Motifs in Physiological Data.,
Multi-Modal Non-Prototypical Music Mood Analysis in Continuous Space: Reliability and Performances.,
Music Emotion Classification of Chinese Songs based on Lyrics Using TF*IDF and Rhyme.,
Urgency Analysis of Audible Alarms in The Operating Room.,
Modeling Musical Emotion Dynamics with Conditional Random Fields.,
Mining the Correlation between Lyrical and Audio Features and the Emergence of Mood.,
Exploring The Relationship Between Mood and Creativity in Rock Lyrics.,
Three Current Issues In Music Autotagging.,
Survey and Evaluation of Audio Fingerprinting Schemes for Mobile Query-by-Example Applications.,
An Investigation of Musical Timbre: Uncovering Salient Semantic Descriptors and Perceptual Dimensions.,
