titles,code
Query by Video: Cross-modal Music Retrieval,
Investigating CNN-based Instrument Family Recognition for Western Classical Music Recordings,
A Bi-Directional Transformer for Musical Chord Recognition,True
SAMBASET: A Dataset of Historical Samba de Enredo Recordings for Computational Music Analysis,
Deep-Rhythm for Global Tempo Estimation in Music,
Large-vocabulary Chord Transcription Via Chord Structure Decomposition,
"BandNet: A Neural Network-based, Multi-Instrument Beatles-Style MIDI Music Composition Machine",
Can We Listen To It Together?: Factors Influencing Reception of Music Recommendations and Post-Recommendation Behavior ,
Adversarial Learning for Improved Onsets and Frames Music Transcription,
Automatic Music Transcription and Ethnomusicology: a User Study,
LakhNES: Improving Multi-instrumental Music Generation with Cross-domain Pre-training,True
"Taking Form: A Representation Standard, Conversion Code, and Example Corpora for Recording, Visualizing, and Studying Analyses of Musical Form",True
Learning Complex Basis Functions for Invariant Representations of Audio,True
Folded CQT RCNN For Real-time Recognition of Instrument Playing Techniques,
humdrumR: a New Take on an Old Approach to Computational Musicology,True
Tunes Together: Perception and Experience of Collaborative Playlists,
A Holistic Approach to Polyphonic Music Transcription with Neural Networks,True
Generalized Metrics for Single-f0 Estimation Evaluation,True
Learning Disentangled Representations of Timbre and Pitch for Musical Instrument Sounds Using Gaussian Mixture Variational Autoencoders,
The ISMIR Explorer - A Visual Interface for Exploring 20 Years of ISMIR Publications,True
Pattern Clustering in Monophonic Music by Learning a Non-Linear Embedding From Human Annotations,True
A Study of Annotation and Alignment Accuracy for Performance Comparison in Complex Orchestral Music,
Mapping Timing Strategies in Drum Performance,
Improving Singing Aid System for Laryngectomees With Statistical Voice Conversion and VAE-SPACE,
Approachable Music Composition with Machine Learning at Scale,True
Scalable Searching and Ranking  for Melodic Pattern Queries,
Adaptive Time-Frequency Scattering for Periodic Modulation Recognition in Music Signals,
Controlling Symbolic Music Generation based on Concept Learning from Domain Knowledge,
Unmixer: An Interface for Extracting and Remixing Loops,
Quantifying Disruptive Influence in the AllMusic Guide,True
Leveraging knowledge bases and parallel annotations for music genre translation,True
Generating Structured Drum Pattern Using Variational Autoencoder and Self-similarity Matrix,True
Rendering Music Performance With Interpretation Variations Using Conditional Variational RNN,
An Interactive Workflow for Generating Chord Labels for Homorhythmic Music in Symbolic Formats,
Quantifying Musical Style: Ranking Symbolic Music based on Similarity to a Style,True
Audio Query-based Music Source Separation,
Mosaic Style Transfer Using Sparse Autocorrelograms,True
Automatic Choreography Generation with Convolutional Encoder-decoder Network,
Hierarchical Classification Networks for Singing Voice Segmentation and Transcription,True
VirtuosoNet: A Hierarchical RNN-based System for Modeling Expressive Piano Performance,True
MIDI Passage Retrieval Using Cell Phone Pictures of Sheet Music,True
A Convolutional Approach to Melody Line Identification in Symbolic Scores,True
