paper_title,arxiv_title,arxiv_link,code_link
DRUMGAN: SYNTHESIS OF DRUM SOUNDS WITH TIMBRAL FEATURE CONDITIONING USING GENERATIVE ADVERSARIAL NETWORKS,DrumGAN: Synthesis of Drum Sounds With Timbral Feature Conditioning Using Generative Adversarial Networks,http://arxiv.org/abs/2008.12073v1,https://github.com/SonyCSLParis/DrumGAN
A Deep Learning Based Analysis-Synthesis Framework For Unison Singing,A Deep Learning Based Analysis-Synthesis Framework For Unison Singing,http://arxiv.org/abs/2009.09875v1,https://github.com/MTG/content_choral_separation
dMelodies: A Music Dataset for Disentanglement Learning,dMelodies: A Music Dataset for Disentanglement Learning,http://arxiv.org/abs/2007.15067v1,https://github.com/ashispati/dmelodies_benchmarking
Score-informed Networks for Music Performance Assessment,Score-informed Networks for Music Performance Assessment,http://arxiv.org/abs/2008.00203v1,https://github.com/biboamy/FBA-Fall19
Hierarchical Timbre-painting and Articulation Generation,Hierarchical Timbre-Painting and Articulation Generation,http://arxiv.org/abs/2008.13095v2,https://github.com/mosheman5/timbre_painting
The Jazz Transformer on the Front Line: Exploring the Shortcomings of AI-composed Music through Quantitative Measures,The Jazz Transformer on the Front Line: Exploring the Shortcomings of AI-composed Music through Quantitative Measures,http://arxiv.org/abs/2008.01307v1,https://github.com/slSeanWU/MusDr
"Exact, Parallelizable Dynamic Time Warping Alignment with Linear Memory","Exact, Parallelizable Dynamic Time Warping Alignment with Linear Memory",http://arxiv.org/abs/2008.02734v1,https://github.com/ctralie/linmdtw
A Computational Analysis of Real-World DJ Mixes using Mix-To-Track Subsequence Alignment,A Computational Analysis of Real-World DJ Mixes using Mix-To-Track Subsequence Alignment,http://arxiv.org/abs/2008.10267v1,https://github.com/mir-aidj/djmix-analysis
Deep Convolutional Networks on the Pitch Spiral For Music Instrument Recognition.,Deep convolutional networks on the pitch spiral for musical instrument recognition,http://arxiv.org/abs/1605.06644v3,https://github.com/lostanlen/ismir2016
Transfer Learning for Music Classification and Regression Tasks.,Transfer learning for music classification and regression tasks,http://arxiv.org/abs/1703.09179v4,https://github.com/keunwoochoi/transfer_learning_music
Counterpoint by Convolution.,Counterpoint by Convolution,http://arxiv.org/abs/1903.07227v1,https://github.com/czhuang/coconet
FMA: A Dataset for Music Analysis.,FMA: A Dataset For Music Analysis,http://arxiv.org/abs/1612.01840v3,https://github.com/mdeff/fma
MidiNet: A Convolutional Generative Adversarial Network for Symbolic-Domain Music Generation.,MidiNet: A Convolutional Generative Adversarial Network for Symbolic-domain Music Generation,http://arxiv.org/abs/1703.10847v2,https://github.com/RichardYang40148/MidiNet
Score-Informed Syllable Segmentation for A Cappella Singing Voice with Convolutional Neural Networks.,Score-informed syllable segmentation for a cappella singing voice with convolutional neural networks,http://arxiv.org/abs/1707.03544v1,https://github.com/ronggong/jingjuSyllabicSegmentaion
Audio to Score Matching by Combining Phonetic and Duration Information.,Audio to score matching by combining phonetic and duration information,http://arxiv.org/abs/1707.03547v1,https://github.com/ronggong/jingjuSingingPhraseMatching
Lyrics-Based Music Genre Classification Using a Hierarchical Attention Network.,Lyrics-Based Music Genre Classification Using a Hierarchical Attention Network,http://arxiv.org/abs/1707.04678v1,https://github.com/alexTsaptsinos/lyricsHAN
Metrical-Accent Aware Vocal Onset Detection in Polyphonic Audio.,Metrical-accent Aware Vocal Onset Detection in Polyphonic Audio,http://arxiv.org/abs/1707.06163v1,https://github.com/georgid/madmom
Optical Music Recognition with Convolutional Sequence-to-Sequence Models.,Optical Music Recognition with Convolutional Sequence-to-Sequence Models,http://arxiv.org/abs/1707.04877v1,https://github.com/eelcovdw/mono-musicxml-dataset
An Attention Mechanism for Musical Instrument Recognition,An Attention Mechanism for Musical Instrument Recognition,http://arxiv.org/abs/1907.04294v1,https://github.com/SiddGururani/AttentionMIC
Deep Unsupervised Drum Transcription,Deep Unsupervised Drum Transcription,http://arxiv.org/abs/1906.03697v2,https://github.com/keunwoochoi/DrummerNet
Learning a Joint Embedding Space of Monophonic and Mixed Music Signals for Singing Voice,Learning a Joint Embedding Space of Monophonic and Mixed Music Signals for Singing Voice,http://arxiv.org/abs/1906.11139v1,https://github.com/kyungyunlee/mono2mixed-singer
Supervised Symbolic Music Style Translation Using Synthetic Data,Supervised Symbolic Music Style Translation Using Synthetic Data,http://arxiv.org/abs/1907.02265v1,https://github.com/cifkao/ismir2019-music-style-translation
Deep Music Analogy Via Latent Representation Disentanglement,Deep Music Analogy Via Latent Representation Disentanglement,http://arxiv.org/abs/1906.03626v4,https://github.com/cdyrhjohn/Deep-Music-Analogy-Demos
A Bi-Directional Transformer for Musical Chord Recognition,A Bi-directional Transformer for Musical Chord Recognition,http://arxiv.org/abs/1907.02698v1,https://github.com/jayg996/BTC-ISMIR19
LakhNES: Improving Multi-instrumental Music Generation with Cross-domain Pre-training,LakhNES: Improving multi-instrumental music generation with cross-domain pre-training,http://arxiv.org/abs/1907.04868v1,https://github.com/chrisdonahue/LakhNES
Learning Complex Basis Functions for Invariant Representations of Audio,Learning Complex Basis Functions for Invariant Representations of Audio,http://arxiv.org/abs/1907.05982v1,https://github.com/SonyCSLParis/cae-invar
A Holistic Approach to Polyphonic Music Transcription with Neural Networks,A holistic approach to polyphonic music transcription with neural networks,http://arxiv.org/abs/1910.12086v1,https://github.com/mangelroman/audio2score
Leveraging knowledge bases and parallel annotations for music genre translation,Leveraging Knowledge Bases And Parallel Annotations For Music Genre Translation,http://arxiv.org/abs/1907.08698v2,https://github.com/deezer/MusicGenreTranslation
Quantifying Musical Style: Ranking Symbolic Music based on Similarity to a Style,Quantifying Musical Style: Ranking Symbolic Music based on Similarity to a Style,http://arxiv.org/abs/2003.06226v1,https://github.com/jeffreyjohnens/style_rank
Using Musical Relationships Between Chord Labels in Automatic Chord Extraction Tasks,Using musical relationships between chord labels in automatic chord extraction tasks,http://arxiv.org/abs/1911.04973v2,https://github.com/carsault/ismir2018
