titles,year
Instrument Identification Informed Multi-Track Mixing.,2013
Tempo Detection of Urban Music Using Tatum Grid Non Negative Matrix Factorization.,2013
A Study of Cultural Dependence of Perceived Mood in Greek Music.,2013
Evaluation on Feature Importance for Favorite Song Detection.,2013
QBT-Extended: An Annotated Dataset of Melodically Contoured Tapped Queries.,2013
Audio Chord Recognition with Recurrent Neural Networks.,2013
Virtualband: Interacting with Stylistically Consistent Agents.,2013
Sparse Modeling for Artist Identification: Exploiting Phase Information and Vocal Separation.,2013
Automatic Transcription of Turkish Makam Music.,2013
Local Group Delay Based Vibrato and Tremolo Suppression for Onset Detection.,2013
Beyond NMF: Time-Domain Audio Source Separation without Phase Reconstruction.,2013
Beta Process Sparse Nonnegative Matrix Factorization for Music.,2013
Semi-Supervised Polyphonic Source Identification using PLCA Based Graph Clustering.,2013
An Experiment about Estimating the Number of Instruments in Polyphonic Music: A Comparison Between Internet and Laboratory Results.,2013
Social-EQ: Crowdsourcing an Equalization Descriptor Map.,2013
Taste Over Time: The Temporal Dynamics of User Preferences.,2013
Exploring the Relation Between Novelty Aspects and Preferences in Music Listening.,2013
Spectral Correlates in Emotion Labeling of Sustained Musical Instrument Tones.,2013
Design and Evaluation of Semantic Mood Models for Music Recommendation using Editorial Tags.,2013
Low-Rank Representation of Both Singing Voice and Music Accompaniment Via Learned Dictionaries.,2013
Incremental Visualization of Growing Music Collections.,2013
Evaluating OMR on the Early Music Online Collection.,2013
Sparse Music Decomposition onto a MIDI Dictionary Driven by Statistical Music Knowledge.,2013
Annotating Works for Music Education: Propositions for a Musical Forms and Structures Ontology and a Musical Performance Ontology.,2013
Chord-Sequence-Factory: A Chord Arrangement System Modifying Factorized Chord Sequence Probabilities.,2013
Music Cut and Paste: A Personalized Musical Medley Generating System.,2013
A Meta-Analysis of the MIREX Structural Segmentation Task.,2013
A Deterministic Annealing EM Algorithm for Automatic Music Transcription.,2013
Modelling the Speed of Music using Features from Harmonic/Percussive Separated Audio.,2013
Inter and Intra Item Segmentation of Continuous Audio Recordings of Carnatic Music for Archival.,2013
Essentia: An Audio Analysis Library for Music Information Retrieval.,2013
Motif Spotting in an Alapana in Carnatic Music.,2013
Empirical Analysis of Track Selection and Ordering in Electronic Dance Music using Audio Feature Extraction.,2013
Improving the Reliability of Music Genre Classification using Rejection and Verification.,2013
Robotaba Guitar Tablature Transcription Framework.,2013
Comparing Onset Detection &amp; Perceptual Attack Time.,2013
K-Pop Genres: A Cross-Cultural Exploration.,2013
Coupling Social Network Services and Support for Online Communities in Codes Environment.,2013
Basic Evaluation of Auditory Temporal Stability (Beats): A Novel Rationale and Implementation.,2013
SIARCT-CFP: Improving Precision and the Discovery of Inexact Musical Patterns in Point-Set Representations.,2013
A Machine Learning Approach to Voice Separation in Lute Tablature.,2013
A Methodology for the Comparison of Melodic Generation Models Using Meta-Melo.,2013
An Extended Audio Fingerprint Method with Capabilities for Similar Music Detection.,2013
AutoMashUpper: An Automatic Multi-Song Mashup System.,2013
Learning Binary Codes For Efficient Large-Scale Music Similarity Search.,2013
Freischütz Digital: A Case Study for Reference-Based Audio Segmentation for Operas.,2013
Automated Methods for Analyzing Music Recordings in Sonata Form.,2013
Combining Harmony-Based and Novelty-Based Approaches for Structural Segmentation.,2013
Automatic Alignment of Music Performances with Structural Differences.,2013
"On Cultural, Textual and Experiential Aspects of Music Mood.",2014
"Sparse Cepstral, Phase Codes for Guitar Playing Technique Classification.",2014
Automated Detection of Single- and Multi-Note Ornaments in Irish Traditional Flute Playing.,2014
The Kiki-Bouba Challenge: Algorithmic Composition for Content-based MIR Research and Development.,2014
Transfer Learning by Supervised Pre-training for Audio-based Music Classification.,2014
Estimating Musical Time Information from Performed MIDI Files.,2014
Estimation of the Direction of Strokes and Arpeggios.,2014
Predicting Expressive Dynamics in Piano Performances using Neural Networks.,2014
An RNN-based Music Language Model for Improving Automatic Music Transcription.,2014
Towards Modeling Texture in Symbolic Data.,2014
Computational Models for Perceived Melodic Similarity in A Cappella Flamenco Singing.,2014
The VIS Framework: Analyzing Counterpoint in Large Datasets.,2014
Hierarchical Approach to Detect Common Mistakes of Beginner Flute Players.,2014
Robust Joint Alignment of Multiple Versions of a Piece of Music.,2014
Formalizing the Problem of Music Description.,2014
An Association-based Approach to Genre Classification in Music.,2014
Multiple Viewpiont Melodic Prediction with Fixed-Context Neural Networks.,2014
Verovio: A library for Engraving MEI Music Notation into SVG.,2014
Music Classification by Transductive Learning Using Bipartite Heterogeneous Networks.,2014
Automatic Melody Transcription based on Chord Transcription.,2014
Audio-to-score Alignment at the Note Level for Orchestral Recordings.,2014
A Compositional Hierarchical Model for Music Information Retrieval.,2014
An Analysis and Evaluation of Audio Features for Multitrack Music Mixtures.,2014
Detecting Drops in Electronic Dance Music: Content based approaches to a socially significant music event.,2014
Towards Automatic Content-Based Separation of DJ Mixes into Single Tracks.,2014
MedleyDB: A Multitrack Dataset for Annotation-Intensive MIR Research.,2014
Melody Extraction from Polyphonic Audio of Western Opera: A Method based on Detection of the Singer's Formant.,2014
Codebook-based Scalable Music Tagging with Poisson Matrix Factorization.,2014
Template Adaptation for Improving Automatic Music Transcription.,2014
Note-level Music Transcription by Maximum Likelihood Sampling.,2014
Drum Transcription via Classification of Bar-Level Rhythmic Patterns.,2014
Developing Tonal Perception through Unsupervised Learning.,2014
Exploiting Instrument-wise Playing/Non-Playing Labels for Score Synchronization of Symphonic Music.,2014
Multi-Strategy Segmentation of Melodies.,2014
A Data Set for Computational Studies of Schenkerian Analysis.,2014
Systematic Multi-scale Set-class Analysis.,2014
Spotting a Query Phrase from Polyphonic Music Audio Signals Based on Semi-supervised Nonnegative Matrix Factorization.,2014
Bayesian Audio Alignment based on a Unified Model of Music Composition and Performance.,2014
Automatic Set List Identification and Song Segmentation for Full-Length Concert Videos.,2014
On Inter-rater Agreement in Audio Music Similarity.,2014
Emotional Predisposition of Musical Instrument Timbres with Static Spectra.,2014
Panako - A Scalable Acoustic Fingerprinting System Handling Time-Scale and Pitch Modification.,2014
Perceptual Analysis of the F-Measure to Evaluate Section Boundaries in Music.,2014
Keyword Spotting in A-capella Singing.,2014
The Importance of F0 Tracking in Query-by-singing-humming.,2014
Vocal Separation using Singer-Vowel Priors Obtained from Polyphonic Audio.,2014
Improving Query by Tapping via Tempo Alignment.,2014
Automatic Instrument Classification of Ethnomusicological Audio Recordings.,2014
Music Analysis as a Smallest Grammar Problem.,2014
Frame-Level Audio Segmentation for Abridged Musical Works.,2014
Creating a Corpus of Jingju (Beijing Opera) Music and Possibilities for Melodic Analysis.,2014
Modeling Temporal Structure in Music for Emotion Prediction using Pairwise Comparisons.,2014
Musical Structural Analysis Database Based on GTTM.,2014
Theoretical Framework of A Computational Model of Auditory Memory for Music Emotion Recognition.,2014
Improving Music Structure Segmentation using lag-priors.,2014
Study of the Similarity between Linguistic Tones and Melodic Pitch Contours in Beijing Opera Singing.,2014
A Proximity Grid Optimization Method to Improve Audio Search for Sound Design.,2014
Introducing a Dataset of Emotional and Color Responses to Music.,2014
In-depth Motivic Analysis based on Multiparametric Closed Pattern and Cyclic Sequence Mining.,2014
MIR_EVAL: A Transparent Implementation of Common MIR Metrics.,2014
Computational Modeling of Induced Emotion Using GEMS.,2014
Cognition-inspired Descriptors for Scalable Cover Song Retrieval.,2014
A Cross-Cultural Study on the Mood of K-POP Songs.,2014
Cadence Detection in Western Traditional Stanzaic Songs using Melodic and Textual Features.,2014
Discovering Typical Motifs of a Raga from One-Liners of Songs in Carnatic Music.,2014
Analyzing Song Structure with Spectral Clustering.,2014
Identifying Polyphonic Musical Patterns From Audio Recordings Using Music Segmentation Techniques.,2014
Boundary Detection in Music Structure Analysis using Convolutional Neural Networks.,2014
"Tracking the ""Odd"": Meter Inference in a Culturally Diverse Music Corpus.",2014
Transcription and Recognition of Syllable based Percussion Patterns: The Case of Beijing Opera.,2014
Taste Space Versus the World: an Embedding Analysis of Listening Habits and Geography.,2014
Enhancing Collaborative Filtering Music Recommendation by Balancing Exploration and Exploitation.,2014
Improving Music Recommender Systems: What Can We Learn from Research on Music Tastes?,2014
Social Music in Cars.,2014
A Combined Thematic and Acoustic Approach for a Music Recommendation Service in TV Commercials.,2014
Are Poetry and Lyrics All That Different?,2014
Singing-Voice Separation from Monaural Recordings using Deep Recurrent Neural Networks.,2014
Impact of Listening Behavior on Music Recommendation.,2014
Towards Seamless Network Music Performance: Predicting an Ensemble's Expressive Decisions for Distributed Performance.,2014
Detection of Motor Changes in Violin Playing by EMG Signals.,2014
Automatic Key Partition Based on Tonal Organization Information of Classical Music.,2014
Bayesian Singing-Voice Separation.,2014
Probabilistic Extraction of Beat Positions from a Beat Activation Function.,2014
Geographical Region Mapping Scheme Based on Musical Preferences.,2014
On Comparative Statistics for Labelling Tasks: What can We Learn from MIREX ACE 2013?,2014
Merged-Output HMM for Piano Fingering of Both Hands.,2014
Modeling Rhythm Similarity for Electronic Dance Music.,2014
MuSe: A Music Recommendation Management System.,2014
Tempo- and Transposition-invariant Identification of Piece and Score Position.,2014
Gender Identification and Age Estimation of Users Based on Music Metadata.,2014
Information-Theoretic Measures of Music Listening Behaviour.,2014
Evaluation Framework for Automatic Singing Transcription.,2014
What is the Effect of Audio Quality on the Robustness of MFCCs and Chroma Features?,2014
Music Information Behaviors and System Preferences of University Students in Hong Kong.,2014
LyricsRadar: A Lyrics Retrieval System Based on Latent Topics of Lyrics.,2014
JAMS: A JSON Annotated Music Specification for Reproducible MIR Research.,2014
On The Changing Regulations of Privacy and Personal Information in MIR.,2014
A Multi-model Approach to Beat Tracking Considering Heterogeneous Music Styles.,2014
Extending Harmonic-Percussive Separation of Audio Signals.,2014
Singing Voice Separation Using Spectro-Temporal Modulation Features.,2014
Harmonic-Temporal Factor Decomposition Incorporating Music Prior Information for Informed Monaural Source Separation.,2014
Design And Evaluation of Onset Detectors using Different Fusion Policies.,2014
Evaluating the Evaluation Measures for Beat Tracking.,2014
Improving Rhythmic Transcriptions via Probability Models Applied Post-OMR.,2014
Classifying EEG Recordings of Rhythm Perception.,2014
"Ten Years of MIREX (Music Information Retrieval Evaluation eXchange): Reflections, Challenges and Opportunities.",2014
Music Structure Analysis Based on an LSTM-HSMM Hybrid Model,2020
Multi-Instrument Music Transcription Based on Deep Spherical Clustering of Spectrograms and Pitchgrams,2020
Improving Polyphonic Music Models with Feature-rich Encoding,2020
Practical Evaluation of Repeated Recommendations in Personalized Music Discovery,2020
Modeling and Estimating Local Tempo: A Case Study on Chopin's Mazurkas,2020
Classifying Leitmotifs in Recordings of Operas by Richard Wagner,2020
Composer Style Classification of Piano Sheet Music Images Using Language Model Pretraining,2020
Using Weakly Aligned Score-Audio Pairs to Train Deep Chroma Models for Cross-Modal Music Retrieval,2020
Camera-Based Piano Sheet Music Identification,2020
User Perceptions Underlying  Social Music Behavior,2020
Perceptual vs. automated judgements of music copyright infringement,2020
SuPP & MaPP: Adaptable Structure-Based Representations for MIR Tasks,2020
Automatic Figured Bass Annotation Using the New Bach Chorales Figured Bass Dataset,2020
A corpus-based analysis of syncopated patterns in ragtime,2020
A Method for Analysis of Shared Structure in Large Music Collections using Techniques from Genetic Sequencing and Graph Theory,2020
Investigating U-Nets with various Intermediate Blocks for Spectrogram-based Singing Voice Separation,2020
The Rhythmic Dictator: Does Gamification of Rhythm Dictation Exercises Help?,2020
Learning to Read and Follow Music in Complete Score Sheet Images,2020
Learning to Denoise Historical Music,2020
Discourse not Dualism: An Interdisciplinary Dialogue on Sonata Form in Beethoven's Early Piano Sonatas,2020
Play Music: User Motivations and Expectations for Non-Specific Voice Queries,2020
Measuring disruption in song similarity networks,2020
Uncovering audio patterns in music with Nonnegative Tucker Decomposition for structural segmentation,2020
The Jazz Harmony Treebank,2020
A Chorus-Section Detection Method for Lyrics Text,2020
POP909: A Pop-Song Dataset for Music Arrangement Generation,2020
Chord Jazzification: Learning Jazz Interpretations of Chord Symbols,2020
Learning Interpretable Representation for Controllable Polyphonic Music Generation ,2020
Connective Fusion: Learning Transformational Joining of Sequences with Application to Melody Creation,2020
PIANOTREE VAE: Structured Representation Learning for Polyphonic Music,2020
Towards Multimodal MIR: Predicting individual differences from music-induced movement,2020
Attributes-Aware Deep Music Transformation,2020
Multilingual lyrics-to-audio alignment,2020
Hierarchical Musical Instrument Separation,2020
Structural Segmentation of Dhrupad Vocal Bandish Audio based on Tempo,2020
Moving in Time: Computational Analysis of Microtiming in Maracatu de Baque Solto,2020
Multilingual Music Genre Embeddings for Effective Cross-Lingual Music Item Annotation,2020
Modelling Hierarchical Key Structure With Pitch Scapes,2020
Voice-Leading Schema Recognition Using Rhythm and Pitch Features,2020
Semantically Meaningful Attributes from Co-Listen Embeddings for Playlist Exploration and Expansion,2020
Downbeat Tracking with Tempo Invariant Convolutional Neural Networks,2020
ASAP: a dataset of aligned scores and performances for piano transcription,2020
Tag2Risk: Harnessing Social Music Tags for Characterizing Depression Risk,2020
Content based singing voice source separation via strong conditioning using aligned phonemes,2020
BebopNet: Deep Neural Models for Personalized Jazz Improvisations,2020
A Simple Method for User-Driven Music Thumbnailing,2020
PROGRAMMING INEQUALITY: GENDER REPRESENTATION ON CANADIAN COUNTRY RADIO (2005-2019),2020
Score-Informed Source Separation of Choral Music,2020
Can't trust the feeling? How open data reveals unexpected behavior of high-level music descriptors,2020
Improved Handling of Repeats and Jumps in Audio--Sheet Image Synchronization,2020
Zero-Shot Singing Voice Conversion,2020
Dance Beat Tracking from Visual Information Alone,2020
Music SketchNet: Controllable Music Generation via Factorized Representations of Pitch and Rhythm,2020
How Music Fans Shape Commercial Music Services:  A Case Study of BTS and ARMY,2020
Artist gender representation in music streaming,2020
Mood Classification Using Listening Data,2020
Exploring Aligned Lyrics-informed Singing Voice Separation,2020
Sesquialtera in the Colombian bambuco: Perception and estimation of beat and meter,2020
Joint analysis of mode and playing technique in Guqin performance with machine learning,2020
Score following with hidden tempo using a switching state-space model,2020
Semi-supervised learning using teacher-student models for vocal melody extraction,2020
Unsupervised Disentanglement of Pitch and Timbre for Isolated Musical Instrument Sounds,2020
Automatic Rank-Ordering of Singing Vocals with Twin-Neural Network,2020
Human-AI Co-Creation in Songwriting,2020
Analysis of Song/Artist Latent Features and Its Application for Song Search,2020
The MIDI Degradation Toolkit: Symbolic Music Augmentation and Correction,2020
MusPy: A Toolkit for Symbolic Music Generation,2020
Ultra-light deep MIR by trimming lottery tickets,2020
Data Cleansing with Contrastive Learning for Vocal Note Event Annotations,2020
Joyful for you and tender for us: the influence of individual characteristics and language on emotion labeling and classification,2020
A Neural Approach for Full-Page Optical Music Recognition of Mensural Documents,2020
Multidimensional similarity modelling of complex drum loops using the GrooveToolbox,2020
Modeling perception with hierarchical prediction: Auditory segmentation with deep predictive coding locates candidate evoked potentials in EEG,2020
Music FaderNets: Controllable Music Generation Based On High-Level Features via Low-Level Feature Modelling,2020
"Deconstruct, Analyse, Reconstruct: How to improve Tempo, Beat, and Downbeat Estimation",2020
Neural Loop Combiner: Neural Network Models for Assessing the Compatibility of Loops,2020
Rule Mining for Local Boundary Detection in Melodies,2020
Butter Lyrics Over Hominy Grit: Comparing Audio and Psychology-Based Text Features in MIR Tasks,2020
Mode classification and natural units in plainchant,2020
Data Quality Matters: Iterative Corrections on a Corpus of Mendelssohn String Quartets and Implications for MIR Analysis,2020
"CONLON: A Pseudo-Song Generator Based on a New Pianoroll, Wasserstein Autoencoders, and Optimal Interpolations",2020
Combining musical features for cover detection,2020
The Freesound Loop Dataset and Annotation Tool,2020
Less is more: Faster and better music version identification with embedding distillation,2020
Should we consider the users in contextual music auto-tagging models?,2020
Exploring Acoustic Similarity for Novel Music Recommendation,2020
Generating Music with a Self-Correcting Non-Chronological Autoregressive Model,2020
Multiple F0 Estimation in Vocal Ensembles using Convolutional Neural Networks,2020
DRUMGAN: SYNTHESIS OF DRUM SOUNDS WITH TIMBRAL FEATURE CONDITIONING USING GENERATIVE ADVERSARIAL NETWORKS,2020
Microtask Crowdsourcing for Music Score Transcriptions: An Experiment with Error Detection,2020
A Deep Learning Based Analysis-Synthesis Framework For Unison Singing,2020
Essentia.js: A JavaScript Library for Music and Audio Analysis on the Web,2020
Detecting Collaboration Profiles in Success-based Music Genre Networks,2020
Deep Learning Based Source Separation Applied To Choir Ensembles,2020
On the Characterization of Expressive Performance in Classical Music: First Results of the Con Espressione Game,2020
Few-shot Drum Transcription in Polyphonic Music,2020
dMelodies: A Music Dataset for Disentanglement Learning,2020
Metric learning vs classification for disentangled music representation learning,2020
Score-informed Networks for Music Performance Assessment,2020
The multiple voices of musical emotions: source separation for improving music emotion recognition models and their interpretability,2020
Hierarchical Timbre-painting and Articulation Generation,2020
User Insights on Diversity in Music Recommendation Lists,2020
From Music Ontology towards Ethno-Music-Ontology,2020
A Combination of Local Approaches for Hierarchical Music Genre Classification,2020
Modeling Music and Code Knowledge to Support a Co-creative AI Agent for Education,2020
Multitask Learning  for Instrument Activation Aware Music Source Separation,2020
The Jazz Transformer on the Front Line: Exploring the Shortcomings of AI-composed Music through Quantitative Measures,2020
Polyphonic Piano Transcription Using Autoregressive Multi-State Note Model,2020
"Exact, Parallelizable Dynamic Time Warping Alignment with Linear Memory",2020
Automatic Composition of Guitar Tabs by Transformers and Groove Modeling,2020
A Computational Analysis of Real-World DJ Mixes using Mix-To-Track Subsequence Alignment,2020
Explaining Perceived Emotion Predictions in Music: An Attentive Approach,2020
Bistate reduction and comparison of drum patterns,2020
"Pandemics, music, and collective sentiment: evidence from the outbreak of COVID-19",2020
Towards a Formalization of Musical Rhythm,2020
An Auditory Streaming Approach for Melody Extraction from Polyphonic Music.,2011
An Acoustic-Phonetic Approach to Vocal Melody Extraction.,2011
A System for Evaluating Singing Enthusiasm for Karaoke.,2011
"Automatic Assessment of Singer Traits in Popular Music: Gender, Age, Height and Race.",2011
A Preplexity Based Cover Song Matching System for Short Length Queries.,2011
Humming Method for Content-Based Music Information Retrieval.,2011
Large-scale music similarity search with spatial trees.,2011
A simple-cycles weighted kernel based on harmony structure for similarity retrieval.,2011
HarmTrace: Improving Harmonic Similarity Estimation Using Functional Harmony Analysis.,2011
Adapting Metrics for Music Similarity Using Comparative Ratings.,2011
Using Mutual Proximity to Improve Content-Based Audio Similarity.,2011
Learning the Similarity of Audio Music in Bag-of-frames Representation from Tagged Music Data.,2011
"Compression-based Similarity Measures in Symbolic, Polyphonic Music.",2011
How Much Metadata Do We Need in Music Recommendation? A Subjective Evaluation Using Preference Sets.,2011
NextOne Player: A Music Recommendation System Based on User Behavior.,2011
How Similar Is Too Similar?: Exploring Users' Perceptions of Similarity in Playlist Evaluation.,2011
A Real-Time Signal Processing Framework of Musical Expressive Feature Extraction Using Matlab.,2011
A Scalable Audio Fingerprint Method with Robustness to Pitch-Shifting.,2011
A Re-ordering Strategy for Accelerating Index-based Audio Fingerprinting.,2011
Fast Hamming Space Search for Audio Fingerprinting Systems.,2011
"Segmentation, Clustering, and Display in a Personal Audio Database for Musicians.",2011
An Interactive System for Electro-Acoustic Music Analysis.,2011
A Multicultural Approach in Music Information Research.,2011
Assessing the Tuning of Sung Indian Classical Music.,2011
A Computational Investigation of Melodic Contour Stability in Jewish Torah Trope Performance Traditions.,2011
Tarsos - a Platform to Explore Pitch Scales in Non-Western and Western Music.,2011
A Classification-Based Polyphonic Piano Transcription Approach Using Learned Feature Representations.,2011
Constrained Spectrum Generation Using A Probabilistic Spectrum Envelope for Mixed Music Analysis.,2011
Pulse Detection in Syncopated Rhythms Using Neural Oscillators.,2011
A Two-Fold Dynamic Programming Approach to Beat Tracking for Audio Music with Time-Varying Tempo.,2011
Tempo Estimation Based on Linear Prediction and Perceptual Modelling.,2011
A Transient Detection Algorithm for Audio Using Iterative Analysis of STFT.,2011
Modeling Musical Attributes to Characterize Two-Track Recordings with Bass and Drums.,2011
Chroma Toolbox: Matlab Implementations for Extracting Variants of Chroma-Based Audio Features.,2011
A Comparison of Statistical and Rule-Based Models for Style-Specific Harmonization.,2011
Melody Extraction based on Harmonic Coded Structure.,2011
Timbre and Melody Features for the Recognition of Vocal Activity and Instrumental Solos in Polyphonic Music.,2011
Quantifying the Relevance of Locally Extracted Information for Musical Instrument Recognition from Entire Pieces of Music.,2011
Score-Informed Voice Separation For Piano Recordings.,2011
A Postprocessing Technique for Improved Harmonic/Percussion Separation for Polyphonic Music.,2011
Factorization of Overlapping Harmonic Sounds Using Approximate Matching Pursuit.,2011
Computational Approaches for the Understanding of Melody in Carnatic Music.,2011
Modeling Melodic Improvisation in Turkish Folk Music Using Variable-Length Markov Models.,2011
Iranian Traditional Music Dastgah Classification.,2011
"The Temperament Police: The Truth, the Ground Truth, and Nothing but the Truth.",2011
Methodology and Resources for The Structural Segmentation of Music Pieces into Autonomous and Comparable Blocks.,2011
The Music Encoding Initiative as a Document-Encoding Framework.,2011
Low Dimensional Visualization of Folk Music Systems Using the Self Organizing Cloud.,2011
New Approaches to Optical Music Recognition.,2011
Songle: A Web Service for Active Music Listening Improved by User Contributions.,2011
Improving Perceptual Tempo Estimation with Crowd-Sourced Annotations.,2011
Investigating the Similarity Space of Music Artists on the Micro-Blogosphere.,2011
Musical Influence Network Analysis and Rank of Sample-Based Music.,2011
User studies in the Music Information Retrieval Literature.,2011
Social Capital and Music Discovery: An Examination of the Ties through Which Late Adolescents Discover New Music.,2011
MIR in School? Lessons from Ethnographic Observation of Secondary School Music Classes.,2011
Ethnographic Observations of Musicologists at the British Library: Implications for Music Information Retrieval.,2011
Peachnote: Music Score Search and Analysis Platform.,2011
The Melodic Signature Index for Fast Content-based Retrieval of Symbolic Scores Camelia Constantin.,2011
Dynamic Programming in Transposition and Time-Warp Invariant Polyphonic Content-Based Music Retrieval.,2011
Rhythm Extraction from Polyphony Symbolic Music.,2011
Complexity Driven Recombination of MIDI Loops.,2011
Feature Extraction and Machine Learning on Symbolic Music using the music21 Toolkit.,2011
Probabilistic Modeling of Hierarchical Music Analysis.,2011
Neo-Riemannian Cycle Detection with Weighted Finite-State Transducers.,2011
Using Sequence Alignment and Voting to Improve Optical Music Recognition from Multiple Recognizers.,2011
OCR based post processing of OMR for the recovery of transposing instruments in complex orchestral scores.,2011
Classifying Bach's Handwritten C-Clefs.,2011
Automatic Pitch Detection in Printed Square Notation.,2011
Associations between Musicology and Music Information Retrieval.,2011
Potential Relationship Discovery in Tag-Aware Music Style Clustering and Artist Social Networks.,2011
Using Network Sciences to Rank Musicians and Composers in Brazilian Popular Music.,2011
Finding Community Structure in Music Genres Networks.,2011
"Guitar Tab Mining, Analysis and Ranking.",2011
A Musical Web Mining and Audio Feature Extraction Extension to The Greenstone Digital Library Software.,2011
Knowledge Representation Issues in Musical Instrument Ontology Design.,2011
The Studio Ontology Framework.,2011
Music Structural Segmentation by Combining Harmonic and Timbral Information.,2011
A Regularity-Constrained Viterbi Algorithm and Its Application to The Structural Segmentation of Songs.,2011
Structural Change on Multiple Time Scales as a Correlate of Musical Complexity.,2011
l1-Graph Based Music Structure Analysis.,2011
Causal Prediction of Continuous-Valued Music Features.,2011
Exemplar-based Assignment of Large Missing Audio Parts using String Matching on Tonal Features.,2011
Aligning Semi-Improvised Music Audio with Its Lead Sheet.,2011
Expressive Timing from Cross-Performance and Audio-based Alignment Patterns: An Extended Case Study.,2011
Incremental Bayesian Audio-to-Score Alignment with Flexible Harmonic Structure Models.,2011
Stochastic Modeling of a Musical Performance with Expressive Representations from the Musical Score.,2011
The Natural Language of Playlists.,2011
"On the Importance of ""Real"" Audio Data for MIR Algorithm Evaluation at the Note-Level - A Comparative Study.",2011
A Comparative Study of Collaborative vs. Traditional Musical Mood Annotation.,2011
Design and creation of a large-scale database of structural annotations.,2011
Music Structure Segmentation Algorithm Evaluation: Expanding on MIREX 2010 Analyses and Datasets.,2011
Music Information Robotics: Coping Strategies for Musically Challenged Robots.,2011
The potential for automatic assessment of trumpet tone quality.,2011
Elementary Sources: Latent Component Analysis for Music Composition.,2011
Cross-Modal Aesthetics from A Feature Extraction Perspective: A Pilot Study.,2011
The Million Song Dataset.,2011
Audio Music Similarity and Retrieval: Evaluation Power and Stability.,2011
MusiCLEF: a Benchmark Activity in Multimodal Music Information Retrieval.,2011
Information Retrieval Meta-Evaluation: Challenges and Opportunities in the Music Domain.,2011
A Segment-Based Fitness Measure for Capturing Repetitive Structures of Music Recordings.,2011
Analysis of Acoustic Features for Automated Multi-Track Mixing.,2011
Accelerating The Mixing Phase In Studio Recording Productions By Automatic Audio Alignment.,2011
An Expert Ground Truth Set for Audio Chord Recognition and Music Analysis.,2011
