titles,year,category
Hierarchical Classification of Carnatic Music Forms.,2013,Knowledge representation
A Simple Fusion Method of State And Sequence Segmentation for Music Structure Discovery.,2013,Recognition / Analysis /Classification
Evaluating The Quality of Generated Playlists Based on Hand-Crafted Samples.,2013,Other
Explicit Duration Hidden Markov Models for Multiple-Instrument Polyphonic Music Transcription.,2013,"Recognition / Analysis /Classification,Similarity"
A Comprehensive Online Database of Machine-Readable Lead-Sheets for Jazz Standards.,2013,Corpora and databases
MeUse: Recommending Internet Radio Stations.,2013,Other
Improved Audio Classification Using a Novel Non-Linear Dimensionality Reduction Ensemble Approach.,2013,Knowledge representation
A Study of Ensemble Synchronisation Under Restricted Line of Sight.,2013,Other
Groove Kernels as Rhythmic-Acoustic Motif Descriptors.,2013,Other
Instrument Identification Informed Multi-Track Mixing.,2013,Recognition / Analysis /Classification
Tempo Detection of Urban Music Using Tatum Grid Non Negative Matrix Factorization.,2013,Transcription and annotations
A Study of Cultural Dependence of Perceived Mood in Greek Music.,2013,Other
Evaluation on Feature Importance for Favorite Song Detection.,2013,Recognition / Analysis /Classification
QBT-Extended: An Annotated Dataset of Melodically Contoured Tapped Queries.,2013,Corpora and databases
Audio Chord Recognition with Recurrent Neural Networks.,2013,Recognition / Analysis /Classification
Virtualband: Interacting with Stylistically Consistent Agents.,2013,Other
Sparse Modeling for Artist Identification: Exploiting Phase Information and Vocal Separation.,2013,Other
Automatic Transcription of Turkish Makam Music.,2013,Transcription and annotations
Local Group Delay Based Vibrato and Tremolo Suppression for Onset Detection.,2013,Transcription and annotations
Beyond NMF: Time-Domain Audio Source Separation without Phase Reconstruction.,2013,Transcription and annotations
Beta Process Sparse Nonnegative Matrix Factorization for Music.,2013,Other
Semi-Supervised Polyphonic Source Identification using PLCA Based Graph Clustering.,2013,"Transcription and annotations,Similarity"
An Experiment about Estimating the Number of Instruments in Polyphonic Music: A Comparison Between Internet and Laboratory Results.,2013,Similarity
Social-EQ: Crowdsourcing an Equalization Descriptor Map.,2013,Other
Taste Over Time: The Temporal Dynamics of User Preferences.,2013,Other
Exploring the Relation Between Novelty Aspects and Preferences in Music Listening.,2013,Other
Spectral Correlates in Emotion Labeling of Sustained Musical Instrument Tones.,2013,Recognition / Analysis /Classification
Design and Evaluation of Semantic Mood Models for Music Recommendation using Editorial Tags.,2013,"Human-computer interaction and interfaces,Recognition / Analysis /Classification"
Low-Rank Representation of Both Singing Voice and Music Accompaniment Via Learned Dictionaries.,2013,Transcription and annotations
Incremental Visualization of Growing Music Collections.,2013,Other
Evaluating OMR on the Early Music Online Collection.,2013,Recognition / Analysis /Classification
Sparse Music Decomposition onto a MIDI Dictionary Driven by Statistical Music Knowledge.,2013,Other
Annotating Works for Music Education: Propositions for a Musical Forms and Structures Ontology and a Musical Performance Ontology.,2013,"Transcription and annotations,Systems issues"
Chord-Sequence-Factory: A Chord Arrangement System Modifying Factorized Chord Sequence Probabilities.,2013,Other
Music Cut and Paste: A Personalized Musical Medley Generating System.,2013,Other
A Meta-Analysis of the MIREX Structural Segmentation Task.,2013,Recognition / Analysis /Classification
A Deterministic Annealing EM Algorithm for Automatic Music Transcription.,2013,Other
Modelling the Speed of Music using Features from Harmonic/Percussive Separated Audio.,2013,Recognition / Analysis /Classification
Inter and Intra Item Segmentation of Continuous Audio Recordings of Carnatic Music for Archival.,2013,Recognition / Analysis /Classification
Essentia: An Audio Analysis Library for Music Information Retrieval.,2013,Recognition / Analysis /Classification
Motif Spotting in an Alapana in Carnatic Music.,2013,Other
Empirical Analysis of Track Selection and Ordering in Electronic Dance Music using Audio Feature Extraction.,2013,Recognition / Analysis /Classification
Improving the Reliability of Music Genre Classification using Rejection and Verification.,2013,"Knowledge representation,Similarity"
Robotaba Guitar Tablature Transcription Framework.,2013,Transcription and annotations
Comparing Onset Detection &amp; Perceptual Attack Time.,2013,Transcription and annotations
K-Pop Genres: A Cross-Cultural Exploration.,2013,Other
Coupling Social Network Services and Support for Online Communities in Codes Environment.,2013,Other
Basic Evaluation of Auditory Temporal Stability (Beats): A Novel Rationale and Implementation.,2013,Recognition / Analysis /Classification
SIARCT-CFP: Improving Precision and the Discovery of Inexact Musical Patterns in Point-Set Representations.,2013,Other
A Machine Learning Approach to Voice Separation in Lute Tablature.,2013,Transcription and annotations
A Methodology for the Comparison of Melodic Generation Models Using Meta-Melo.,2013,Other
An Extended Audio Fingerprint Method with Capabilities for Similar Music Detection.,2013,Other
AutoMashUpper: An Automatic Multi-Song Mashup System.,2013,Other
Learning Binary Codes For Efficient Large-Scale Music Similarity Search.,2013,Similarity
Freischütz Digital: A Case Study for Reference-Based Audio Segmentation for Operas.,2013,Recognition / Analysis /Classification
Automated Methods for Analyzing Music Recordings in Sonata Form.,2013,Other
Combining Harmony-Based and Novelty-Based Approaches for Structural Segmentation.,2013,Other
Automatic Alignment of Music Performances with Structural Differences.,2013,Other
"On Cultural, Textual and Experiential Aspects of Music Mood.",2014,Other
"Sparse Cepstral, Phase Codes for Guitar Playing Technique Classification.",2014,Other
Automated Detection of Single- and Multi-Note Ornaments in Irish Traditional Flute Playing.,2014,Transcription and annotations
The Kiki-Bouba Challenge: Algorithmic Composition for Content-based MIR Research and Development.,2014,Other
Transfer Learning by Supervised Pre-training for Audio-based Music Classification.,2014,Other
Estimating Musical Time Information from Performed MIDI Files.,2014,Other
Estimation of the Direction of Strokes and Arpeggios.,2014,Other
Predicting Expressive Dynamics in Piano Performances using Neural Networks.,2014,Other
An RNN-based Music Language Model for Improving Automatic Music Transcription.,2014,Other
Towards Modeling Texture in Symbolic Data.,2014,Other
Computational Models for Perceived Melodic Similarity in A Cappella Flamenco Singing.,2014,Similarity
The VIS Framework: Analyzing Counterpoint in Large Datasets.,2014,Other
Hierarchical Approach to Detect Common Mistakes of Beginner Flute Players.,2014,Other
Robust Joint Alignment of Multiple Versions of a Piece of Music.,2014,Other
Formalizing the Problem of Music Description.,2014,Other
An Association-based Approach to Genre Classification in Music.,2014,"Knowledge representation,Similarity"
Multiple Viewpiont Melodic Prediction with Fixed-Context Neural Networks.,2014,Other
Verovio: A library for Engraving MEI Music Notation into SVG.,2014,Other
Music Classification by Transductive Learning Using Bipartite Heterogeneous Networks.,2014,Knowledge representation
Automatic Melody Transcription based on Chord Transcription.,2014,"Transcription and annotations,Similarity"
Audio-to-score Alignment at the Note Level for Orchestral Recordings.,2014,Transcription and annotations
A Compositional Hierarchical Model for Music Information Retrieval.,2014,Other
An Analysis and Evaluation of Audio Features for Multitrack Music Mixtures.,2014,Recognition / Analysis /Classification
Detecting Drops in Electronic Dance Music: Content based approaches to a socially significant music event.,2014,Other
Towards Automatic Content-Based Separation of DJ Mixes into Single Tracks.,2014,Transcription and annotations
MedleyDB: A Multitrack Dataset for Annotation-Intensive MIR Research.,2014,Corpora and databases
Melody Extraction from Polyphonic Audio of Western Opera: A Method based on Detection of the Singer's Formant.,2014,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Codebook-based Scalable Music Tagging with Poisson Matrix Factorization.,2014,Other
Template Adaptation for Improving Automatic Music Transcription.,2014,Other
Note-level Music Transcription by Maximum Likelihood Sampling.,2014,Transcription and annotations
Drum Transcription via Classification of Bar-Level Rhythmic Patterns.,2014,"Knowledge representation,Transcription and annotations"
Developing Tonal Perception through Unsupervised Learning.,2014,Other
Exploiting Instrument-wise Playing/Non-Playing Labels for Score Synchronization of Symphonic Music.,2014,"Transcription and annotations,Recognition / Analysis /Classification"
Multi-Strategy Segmentation of Melodies.,2014,Recognition / Analysis /Classification
A Data Set for Computational Studies of Schenkerian Analysis.,2014,Other
Systematic Multi-scale Set-class Analysis.,2014,Other
Spotting a Query Phrase from Polyphonic Music Audio Signals Based on Semi-supervised Nonnegative Matrix Factorization.,2014,Similarity
Bayesian Audio Alignment based on a Unified Model of Music Composition and Performance.,2014,Other
Automatic Set List Identification and Song Segmentation for Full-Length Concert Videos.,2014,Recognition / Analysis /Classification
On Inter-rater Agreement in Audio Music Similarity.,2014,Other
Emotional Predisposition of Musical Instrument Timbres with Static Spectra.,2014,Recognition / Analysis /Classification
Panako - A Scalable Acoustic Fingerprinting System Handling Time-Scale and Pitch Modification.,2014,Query (content-based)
Perceptual Analysis of the F-Measure to Evaluate Section Boundaries in Music.,2014,Recognition / Analysis /Classification
Keyword Spotting in A-capella Singing.,2014,Other
The Importance of F0 Tracking in Query-by-singing-humming.,2014,Other
Vocal Separation using Singer-Vowel Priors Obtained from Polyphonic Audio.,2014,"Transcription and annotations,Similarity"
Improving Query by Tapping via Tempo Alignment.,2014,Transcription and annotations
Automatic Instrument Classification of Ethnomusicological Audio Recordings.,2014,"Knowledge representation,Recognition / Analysis /Classification"
Music Analysis as a Smallest Grammar Problem.,2014,Recognition / Analysis /Classification
Frame-Level Audio Segmentation for Abridged Musical Works.,2014,Recognition / Analysis /Classification
Creating a Corpus of Jingju (Beijing Opera) Music and Possibilities for Melodic Analysis.,2014,Other
Modeling Temporal Structure in Music for Emotion Prediction using Pairwise Comparisons.,2014,Other
Musical Structural Analysis Database Based on GTTM.,2014,"Corpora and databases,Recognition / Analysis /Classification"
Theoretical Framework of A Computational Model of Auditory Memory for Music Emotion Recognition.,2014,Other
Improving Music Structure Segmentation using lag-priors.,2014,Recognition / Analysis /Classification
Study of the Similarity between Linguistic Tones and Melodic Pitch Contours in Beijing Opera Singing.,2014,Similarity
A Proximity Grid Optimization Method to Improve Audio Search for Sound Design.,2014,Other
Introducing a Dataset of Emotional and Color Responses to Music.,2014,Corpora and databases
In-depth Motivic Analysis based on Multiparametric Closed Pattern and Cyclic Sequence Mining.,2014,Recognition / Analysis /Classification
MIR_EVAL: A Transparent Implementation of Common MIR Metrics.,2014,Other
Computational Modeling of Induced Emotion Using GEMS.,2014,Other
Cognition-inspired Descriptors for Scalable Cover Song Retrieval.,2014,Other
A Cross-Cultural Study on the Mood of K-POP Songs.,2014,Other
Cadence Detection in Western Traditional Stanzaic Songs using Melodic and Textual Features.,2014,Transcription and annotations
Discovering Typical Motifs of a Raga from One-Liners of Songs in Carnatic Music.,2014,Other
Analyzing Song Structure with Spectral Clustering.,2014,Other
Identifying Polyphonic Musical Patterns From Audio Recordings Using Music Segmentation Techniques.,2014,"Recognition / Analysis /Classification,Similarity"
Boundary Detection in Music Structure Analysis using Convolutional Neural Networks.,2014,"Transcription and annotations,Recognition / Analysis /Classification"
"Tracking the ""Odd"": Meter Inference in a Culturally Diverse Music Corpus.",2014,Other
Transcription and Recognition of Syllable based Percussion Patterns: The Case of Beijing Opera.,2014,"Transcription and annotations,Recognition / Analysis /Classification"
Taste Space Versus the World: an Embedding Analysis of Listening Habits and Geography.,2014,Recognition / Analysis /Classification
Enhancing Collaborative Filtering Music Recommendation by Balancing Exploration and Exploitation.,2014,Recognition / Analysis /Classification
Improving Music Recommender Systems: What Can We Learn from Research on Music Tastes?,2014,Recognition / Analysis /Classification
Social Music in Cars.,2014,Other
A Combined Thematic and Acoustic Approach for a Music Recommendation Service in TV Commercials.,2014,Recognition / Analysis /Classification
Are Poetry and Lyrics All That Different?,2014,Transcription and annotations
Singing-Voice Separation from Monaural Recordings using Deep Recurrent Neural Networks.,2014,Transcription and annotations
Impact of Listening Behavior on Music Recommendation.,2014,Other
Towards Seamless Network Music Performance: Predicting an Ensemble's Expressive Decisions for Distributed Performance.,2014,"Transcription and annotations,Systems issues"
Detection of Motor Changes in Violin Playing by EMG Signals.,2014,Transcription and annotations
Automatic Key Partition Based on Tonal Organization Information of Classical Music.,2014,Other
Bayesian Singing-Voice Separation.,2014,Transcription and annotations
Probabilistic Extraction of Beat Positions from a Beat Activation Function.,2014,"Transcription and annotations,Recognition / Analysis /Classification"
Geographical Region Mapping Scheme Based on Musical Preferences.,2014,Other
On Comparative Statistics for Labelling Tasks: What can We Learn from MIREX ACE 2013?,2014,Other
Merged-Output HMM for Piano Fingering of Both Hands.,2014,Other
Modeling Rhythm Similarity for Electronic Dance Music.,2014,Similarity
MuSe: A Music Recommendation Management System.,2014,Recognition / Analysis /Classification
Tempo- and Transposition-invariant Identification of Piece and Score Position.,2014,Transcription and annotations
Gender Identification and Age Estimation of Users Based on Music Metadata.,2014,Other
Information-Theoretic Measures of Music Listening Behaviour.,2014,Other
Evaluation Framework for Automatic Singing Transcription.,2014,Recognition / Analysis /Classification
What is the Effect of Audio Quality on the Robustness of MFCCs and Chroma Features?,2014,Other
Music Information Behaviors and System Preferences of University Students in Hong Kong.,2014,Other
LyricsRadar: A Lyrics Retrieval System Based on Latent Topics of Lyrics.,2014,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
JAMS: A JSON Annotated Music Specification for Reproducible MIR Research.,2014,Other
On The Changing Regulations of Privacy and Personal Information in MIR.,2014,Other
A Multi-model Approach to Beat Tracking Considering Heterogeneous Music Styles.,2014,Transcription and annotations
Extending Harmonic-Percussive Separation of Audio Signals.,2014,Transcription and annotations
Singing Voice Separation Using Spectro-Temporal Modulation Features.,2014,Transcription and annotations
Harmonic-Temporal Factor Decomposition Incorporating Music Prior Information for Informed Monaural Source Separation.,2014,Transcription and annotations
Design And Evaluation of Onset Detectors using Different Fusion Policies.,2014,"Human-computer interaction and interfaces,Transcription and annotations,Recognition / Analysis /Classification"
Evaluating the Evaluation Measures for Beat Tracking.,2014,"Transcription and annotations,Recognition / Analysis /Classification"
Improving Rhythmic Transcriptions via Probability Models Applied Post-OMR.,2014,Other
Classifying EEG Recordings of Rhythm Perception.,2014,Similarity
"Ten Years of MIREX (Music Information Retrieval Evaluation eXchange): Reflections, Challenges and Opportunities.",2014,"Recognition / Analysis /Classification,Similarity"
Music Structure Analysis Based on an LSTM-HSMM Hybrid Model,2020,Recognition / Analysis /Classification
Multi-Instrument Music Transcription Based on Deep Spherical Clustering of Spectrograms and Pitchgrams,2020,"Transcription and annotations,Recognition / Analysis /Classification"
Improving Polyphonic Music Models with Feature-rich Encoding,2020,Similarity
Practical Evaluation of Repeated Recommendations in Personalized Music Discovery,2020,Recognition / Analysis /Classification
Modeling and Estimating Local Tempo: A Case Study on Chopin's Mazurkas,2020,Transcription and annotations
Classifying Leitmotifs in Recordings of Operas by Richard Wagner,2020,Other
Composer Style Classification of Piano Sheet Music Images Using Language Model Pretraining,2020,"Knowledge representation,Similarity"
Using Weakly Aligned Score-Audio Pairs to Train Deep Chroma Models for Cross-Modal Music Retrieval,2020,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Camera-Based Piano Sheet Music Identification,2020,Other
User Perceptions Underlying  Social Music Behavior,2020,Other
Perceptual vs. automated judgements of music copyright infringement,2020,Other
SuPP & MaPP: Adaptable Structure-Based Representations for MIR Tasks,2020,Other
Automatic Figured Bass Annotation Using the New Bach Chorales Figured Bass Dataset,2020,Corpora and databases
A corpus-based analysis of syncopated patterns in ragtime,2020,Recognition / Analysis /Classification
A Method for Analysis of Shared Structure in Large Music Collections using Techniques from Genetic Sequencing and Graph Theory,2020,Recognition / Analysis /Classification
Investigating U-Nets with various Intermediate Blocks for Spectrogram-based Singing Voice Separation,2020,Transcription and annotations
The Rhythmic Dictator: Does Gamification of Rhythm Dictation Exercises Help?,2020,Similarity
Learning to Read and Follow Music in Complete Score Sheet Images,2020,Transcription and annotations
Learning to Denoise Historical Music,2020,Other
Discourse not Dualism: An Interdisciplinary Dialogue on Sonata Form in Beethoven's Early Piano Sonatas,2020,Similarity
Play Music: User Motivations and Expectations for Non-Specific Voice Queries,2020,Transcription and annotations
Measuring disruption in song similarity networks,2020,Similarity
Uncovering audio patterns in music with Nonnegative Tucker Decomposition for structural segmentation,2020,Recognition / Analysis /Classification
The Jazz Harmony Treebank,2020,Other
A Chorus-Section Detection Method for Lyrics Text,2020,Transcription and annotations
POP909: A Pop-Song Dataset for Music Arrangement Generation,2020,Corpora and databases
Chord Jazzification: Learning Jazz Interpretations of Chord Symbols,2020,Other
Learning Interpretable Representation for Controllable Polyphonic Music Generation ,2020,Similarity
Connective Fusion: Learning Transformational Joining of Sequences with Application to Melody Creation,2020,"Transcription and annotations,Similarity"
PIANOTREE VAE: Structured Representation Learning for Polyphonic Music,2020,Similarity
Towards Multimodal MIR: Predicting individual differences from music-induced movement,2020,Other
Attributes-Aware Deep Music Transformation,2020,Other
Multilingual lyrics-to-audio alignment,2020,Transcription and annotations
Hierarchical Musical Instrument Separation,2020,"Transcription and annotations,Recognition / Analysis /Classification"
Structural Segmentation of Dhrupad Vocal Bandish Audio based on Tempo,2020,"Transcription and annotations,Recognition / Analysis /Classification"
Moving in Time: Computational Analysis of Microtiming in Maracatu de Baque Solto,2020,Recognition / Analysis /Classification
Multilingual Music Genre Embeddings for Effective Cross-Lingual Music Item Annotation,2020,Similarity
Modelling Hierarchical Key Structure With Pitch Scapes,2020,Other
Voice-Leading Schema Recognition Using Rhythm and Pitch Features,2020,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Semantically Meaningful Attributes from Co-Listen Embeddings for Playlist Exploration and Expansion,2020,Other
Downbeat Tracking with Tempo Invariant Convolutional Neural Networks,2020,Transcription and annotations
ASAP: a dataset of aligned scores and performances for piano transcription,2020,"Corpora and databases,Transcription and annotations"
Tag2Risk: Harnessing Social Music Tags for Characterizing Depression Risk,2020,Other
Content based singing voice source separation via strong conditioning using aligned phonemes,2020,Transcription and annotations
BebopNet: Deep Neural Models for Personalized Jazz Improvisations,2020,Other
A Simple Method for User-Driven Music Thumbnailing,2020,Other
PROGRAMMING INEQUALITY: GENDER REPRESENTATION ON CANADIAN COUNTRY RADIO (2005-2019),2020,Other
Score-Informed Source Separation of Choral Music,2020,Transcription and annotations
Can't trust the feeling? How open data reveals unexpected behavior of high-level music descriptors,2020,Other
Improved Handling of Repeats and Jumps in Audio--Sheet Image Synchronization,2020,Other
Zero-Shot Singing Voice Conversion,2020,Transcription and annotations
Dance Beat Tracking from Visual Information Alone,2020,Transcription and annotations
Music SketchNet: Controllable Music Generation via Factorized Representations of Pitch and Rhythm,2020,Similarity
How Music Fans Shape Commercial Music Services:  A Case Study of BTS and ARMY,2020,Other
Artist gender representation in music streaming,2020,Other
Mood Classification Using Listening Data,2020,Knowledge representation
Exploring Aligned Lyrics-informed Singing Voice Separation,2020,Transcription and annotations
Sesquialtera in the Colombian bambuco: Perception and estimation of beat and meter,2020,Transcription and annotations
Joint analysis of mode and playing technique in Guqin performance with machine learning,2020,"Transcription and annotations,Recognition / Analysis /Classification,Systems issues"
Score following with hidden tempo using a switching state-space model,2020,Transcription and annotations
Semi-supervised learning using teacher-student models for vocal melody extraction,2020,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Unsupervised Disentanglement of Pitch and Timbre for Isolated Musical Instrument Sounds,2020,"Recognition / Analysis /Classification,Similarity"
Automatic Rank-Ordering of Singing Vocals with Twin-Neural Network,2020,Other
Human-AI Co-Creation in Songwriting,2020,Other
Analysis of Song/Artist Latent Features and Its Application for Song Search,2020,Recognition / Analysis /Classification
The MIDI Degradation Toolkit: Symbolic Music Augmentation and Correction,2020,Other
MusPy: A Toolkit for Symbolic Music Generation,2020,Other
Ultra-light deep MIR by trimming lottery tickets,2020,Other
Data Cleansing with Contrastive Learning for Vocal Note Event Annotations,2020,Other
Joyful for you and tender for us: the influence of individual characteristics and language on emotion labeling and classification,2020,Knowledge representation
A Neural Approach for Full-Page Optical Music Recognition of Mensural Documents,2020,Recognition / Analysis /Classification
Multidimensional similarity modelling of complex drum loops using the GrooveToolbox,2020,Similarity
Modeling perception with hierarchical prediction: Auditory segmentation with deep predictive coding locates candidate evoked potentials in EEG,2020,Recognition / Analysis /Classification
Music FaderNets: Controllable Music Generation Based On High-Level Features via Low-Level Feature Modelling,2020,Recognition / Analysis /Classification
"Deconstruct, Analyse, Reconstruct: How to improve Tempo, Beat, and Downbeat Estimation",2020,Other
Neural Loop Combiner: Neural Network Models for Assessing the Compatibility of Loops,2020,Other
Rule Mining for Local Boundary Detection in Melodies,2020,Transcription and annotations
Butter Lyrics Over Hominy Grit: Comparing Audio and Psychology-Based Text Features in MIR Tasks,2020,"Transcription and annotations,Recognition / Analysis /Classification"
Mode classification and natural units in plainchant,2020,Knowledge representation
Data Quality Matters: Iterative Corrections on a Corpus of Mendelssohn String Quartets and Implications for MIR Analysis,2020,Recognition / Analysis /Classification
"CONLON: A Pseudo-Song Generator Based on a New Pianoroll, Wasserstein Autoencoders, and Optimal Interpolations",2020,Other
Combining musical features for cover detection,2020,"Transcription and annotations,Recognition / Analysis /Classification"
The Freesound Loop Dataset and Annotation Tool,2020,Corpora and databases
Less is more: Faster and better music version identification with embedding distillation,2020,Other
Should we consider the users in contextual music auto-tagging models?,2020,Other
Exploring Acoustic Similarity for Novel Music Recommendation,2020,"Recognition / Analysis /Classification,Similarity"
Generating Music with a Self-Correcting Non-Chronological Autoregressive Model,2020,Other
Multiple F0 Estimation in Vocal Ensembles using Convolutional Neural Networks,2020,Other
DRUMGAN: SYNTHESIS OF DRUM SOUNDS WITH TIMBRAL FEATURE CONDITIONING USING GENERATIVE ADVERSARIAL NETWORKS,2020,Other
Microtask Crowdsourcing for Music Score Transcriptions: An Experiment with Error Detection,2020,Transcription and annotations
A Deep Learning Based Analysis-Synthesis Framework For Unison Singing,2020,Recognition / Analysis /Classification
Essentia.js: A JavaScript Library for Music and Audio Analysis on the Web,2020,Recognition / Analysis /Classification
Detecting Collaboration Profiles in Success-based Music Genre Networks,2020,Similarity
Deep Learning Based Source Separation Applied To Choir Ensembles,2020,Transcription and annotations
On the Characterization of Expressive Performance in Classical Music: First Results of the Con Espressione Game,2020,"Transcription and annotations,Systems issues"
Few-shot Drum Transcription in Polyphonic Music,2020,"Transcription and annotations,Similarity"
dMelodies: A Music Dataset for Disentanglement Learning,2020,Corpora and databases
Metric learning vs classification for disentangled music representation learning,2020,Knowledge representation
Score-informed Networks for Music Performance Assessment,2020,"Transcription and annotations,Systems issues"
The multiple voices of musical emotions: source separation for improving music emotion recognition models and their interpretability,2020,"Transcription and annotations,Recognition / Analysis /Classification"
Hierarchical Timbre-painting and Articulation Generation,2020,"Recognition / Analysis /Classification,Similarity"
User Insights on Diversity in Music Recommendation Lists,2020,Recognition / Analysis /Classification
From Music Ontology towards Ethno-Music-Ontology,2020,Other
A Combination of Local Approaches for Hierarchical Music Genre Classification,2020,"Knowledge representation,Similarity"
Modeling Music and Code Knowledge to Support a Co-creative AI Agent for Education,2020,Other
Multitask Learning  for Instrument Activation Aware Music Source Separation,2020,"Transcription and annotations,Recognition / Analysis /Classification"
The Jazz Transformer on the Front Line: Exploring the Shortcomings of AI-composed Music through Quantitative Measures,2020,Other
Polyphonic Piano Transcription Using Autoregressive Multi-State Note Model,2020,"Transcription and annotations,Similarity"
"Exact, Parallelizable Dynamic Time Warping Alignment with Linear Memory",2020,Other
Automatic Composition of Guitar Tabs by Transformers and Groove Modeling,2020,Other
A Computational Analysis of Real-World DJ Mixes using Mix-To-Track Subsequence Alignment,2020,Recognition / Analysis /Classification
Explaining Perceived Emotion Predictions in Music: An Attentive Approach,2020,Other
Bistate reduction and comparison of drum patterns,2020,Other
"Pandemics, music, and collective sentiment: evidence from the outbreak of COVID-19",2020,Other
Towards a Formalization of Musical Rhythm,2020,Similarity
An Auditory Streaming Approach for Melody Extraction from Polyphonic Music.,2011,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
An Acoustic-Phonetic Approach to Vocal Melody Extraction.,2011,"Transcription and annotations,Similarity"
A System for Evaluating Singing Enthusiasm for Karaoke.,2011,Other
"Automatic Assessment of Singer Traits in Popular Music: Gender, Age, Height and Race.",2011,Other
A Preplexity Based Cover Song Matching System for Short Length Queries.,2011,Other
Humming Method for Content-Based Music Information Retrieval.,2011,Query (content-based)
Large-scale music similarity search with spatial trees.,2011,Similarity
A simple-cycles weighted kernel based on harmony structure for similarity retrieval.,2011,Similarity
HarmTrace: Improving Harmonic Similarity Estimation Using Functional Harmony Analysis.,2011,Similarity
Adapting Metrics for Music Similarity Using Comparative Ratings.,2011,Similarity
Using Mutual Proximity to Improve Content-Based Audio Similarity.,2011,Other
Learning the Similarity of Audio Music in Bag-of-frames Representation from Tagged Music Data.,2011,Similarity
"Compression-based Similarity Measures in Symbolic, Polyphonic Music.",2011,"Systems issues,Similarity"
How Much Metadata Do We Need in Music Recommendation? A Subjective Evaluation Using Preference Sets.,2011,Recognition / Analysis /Classification
NextOne Player: A Music Recommendation System Based on User Behavior.,2011,Recognition / Analysis /Classification
How Similar Is Too Similar?: Exploring Users' Perceptions of Similarity in Playlist Evaluation.,2011,Similarity
