titles,arxiv_links
VOCANO: A note transcription framework for singing voice in polyphonic music,http://arxiv.org/abs/1510.04039v1
De-centering the West: East Asian Philosophies and the Ethics of Applying Artificial Intelligence to Music,http://arxiv.org/abs/1402.6494v1
A Benchmarking Initiative for Audio-domain Music Generation using the FreeSound Loop Dataset,http://arxiv.org/abs/2108.01576v1
EMOPIA: A Multi-Modal Pop Piano Dataset For Emotion Recognition and Emotion-based Music Generation,http://arxiv.org/abs/2108.01374v1
Piano Sheet Music Identification Using Marketplace Fingerprinting,http://arxiv.org/abs/2007.14579v1
Learning a cross-domain embedding space of vocal and mixed audio with a structure-preserving triplet loss,http://arxiv.org/abs/2005.13402v3
Decoupling Magnitude and Phase Estimation with Deep ResUNet for Music Source Separation,http://arxiv.org/abs/2109.05418v1
Artist Similarity Using Graph Neural Networks,http://arxiv.org/abs/2107.14541v1
Multiscale Approaches To Music Audio Feature Learning.,http://arxiv.org/abs/2006.08656v2
Transfer Learning In Mir: Sharing Learned Latent Representations For Music Audio Classification And Similarity.,http://arxiv.org/abs/2107.05677v1
A Distributed Model For Multiple-Viewpoint Melodic Prediction.,http://arxiv.org/abs/2102.08232v1
Learning Rhythm And Melody Features With Deep Belief Networks.,http://arxiv.org/abs/2109.00663v1
A Comparative Study Of Indian And Western Music Forms.,http://arxiv.org/abs/2002.09021v1
Swara Histogram Based Structural Analysis And Identification Of Indian Classical Ragas.,http://arxiv.org/abs/2111.00436v1
Combining Modeling Of Singing Voice And Background Music For Automatic Separation Of Musical Mixtures.,http://arxiv.org/abs/1604.00192v1
On Finding Symbolic Themes Directly From Audio Files Using Dynamic Programming.,http://arxiv.org/abs/1806.08236v2
"Towards Light-Weight, Real-Time-Capable Singing Voice Detection.",http://arxiv.org/abs/2110.04754v1
The Use Of Melodic Scales In Bollywood Music: An Empirical Study.,http://arxiv.org/abs/1711.02318v1
Bilevel Sparse Models for Polyphonic Music Transcription.,http://arxiv.org/abs/1909.10200v2
JProductionCritic: An Educational Tool for Detecting Technical Errors in Audio Mixes.,http://arxiv.org/abs/2104.03876v1
Combining Timbric and Rhythmic Features for Semantic Music Tagging.,http://arxiv.org/abs/2009.02057v1
The Audio Degradation Toolbox and Its Application to Robustness Evaluation.,http://arxiv.org/abs/0707.0397v1
Do Online Social Tags Predict Perceived or Induced Emotional Responses to Music?,http://arxiv.org/abs/1308.1817v1
A Video Compression-Based Approach to Measure Music Structural Similarity.,http://arxiv.org/abs/2108.00970v1
Dunya: A System to Browse Audio Music Collections Exploiting Cultural Context.,http://arxiv.org/abs/2108.01283v1
An Analysis of Chorus Features in Popular Song.,http://arxiv.org/abs/2106.16153v1
Visual Humdrum-Library for PWGL.,http://arxiv.org/abs/2108.04953v1
Source Separation of Polyphonic Music with Interactive User-Feedback on a Piano Roll Display.,http://arxiv.org/abs/1206.6392v1
Optical Measure Recognition in Common Music Notation.,http://arxiv.org/abs/1908.03608v3
Musicbrainz for The World: The Chilean Experience.,http://arxiv.org/abs/1111.6121v1
Influences of ISMIR and MIREX Research on Technology Patents.,http://arxiv.org/abs/1403.2096v1
Toward Understanding Expressive Percussion Through Content Based Analysis.,http://arxiv.org/abs/gr-qc/9908064v1
Data Driven and Discriminative Projections for Large-Scale Cover Song Identification.,http://arxiv.org/abs/1912.11006v3
"Simultaneous Unsupervised Learning of Flamenco Metrical Structure, Hypermetrical Structure, and Multipart Structural Relations.",http://arxiv.org/abs/gr-qc/0011050v1
A Corpus-Based Study on Ragtime Syncopation.,http://arxiv.org/abs/1609.02049v1
A Computational Comparison of Theory And Practice of Scale Intonation in Byzantine Chant.,http://arxiv.org/abs/cmp-lg/9405003v1
Score Informed Tonic Identification for Makam Music of Turkey.,http://arxiv.org/abs/1708.00733v1
Placing Music Artists and Songs in Time Using Editorial Metadata and Web Mining Techniques.,http://arxiv.org/abs/1906.11783v1
The Million Musical Tweet Dataset - What We Can Learn From Microblogs.,http://arxiv.org/abs/1308.2354v1
Verifying Music Tag Annotation Via Association Analysis.,http://arxiv.org/abs/1907.04262v2
The Role of Audio and Tags in Music Mood Prediction: A Study Using Semantic Layer Projection.,http://arxiv.org/abs/1308.1817v1
Converting Path Structures Into Block Structures Using Eigenvalue Decompositions of Self-Similarity Matrices.,http://arxiv.org/abs/cond-mat/0104425v1
The Audio Effects Ontology.,http://arxiv.org/abs/1610.02333v1
Exploration of Music Emotion Recognition Based on MIDI.,http://arxiv.org/abs/2108.01374v1
Rhythmic Pattern Modeling for Beat and Downbeat Tracking in Musical Audio.,http://arxiv.org/abs/2111.00704v1
Large-Scale Cover Song Identification Using Chord Profiles.,http://arxiv.org/abs/1707.04680v1
Automatically Identifying Vocal Expressions for Music Transcription.,http://arxiv.org/abs/2108.02625v1
Hooked: A Game For Discovering What Makes Music Catchy.,http://arxiv.org/abs/math/0109023v2
Hierarchical Classification of Carnatic Music Forms.,http://arxiv.org/abs/1711.02318v1
A Simple Fusion Method of State And Sequence Segmentation for Music Structure Discovery.,http://arxiv.org/abs/1812.07126v1
Evaluating The Quality of Generated Playlists Based on Hand-Crafted Samples.,http://arxiv.org/abs/1907.08687v1
Explicit Duration Hidden Markov Models for Multiple-Instrument Polyphonic Music Transcription.,http://arxiv.org/abs/1704.03711v1
A Comprehensive Online Database of Machine-Readable Lead-Sheets for Jazz Standards.,http://arxiv.org/abs/1904.03442v1
MeUse: Recommending Internet Radio Stations.,http://arxiv.org/abs/cs/0109046v1
Improved Audio Classification Using a Novel Non-Linear Dimensionality Reduction Ensemble Approach.,http://arxiv.org/abs/1903.12422v1
A Study of Ensemble Synchronisation Under Restricted Line of Sight.,http://arxiv.org/abs/1109.6214v2
Groove Kernels as Rhythmic-Acoustic Motif Descriptors.,http://arxiv.org/abs/cond-mat/9907443v1
Instrument Identification Informed Multi-Track Mixing.,http://arxiv.org/abs/physics/0312061v1
Tempo Detection of Urban Music Using Tatum Grid Non Negative Matrix Factorization.,http://arxiv.org/abs/2109.01607v1
A Study of Cultural Dependence of Perceived Mood in Greek Music.,http://arxiv.org/abs/2108.00768v1
Evaluation on Feature Importance for Favorite Song Detection.,http://arxiv.org/abs/2104.13453v1
QBT-Extended: An Annotated Dataset of Melodically Contoured Tapped Queries.,http://arxiv.org/abs/1509.04956v1
Audio Chord Recognition with Recurrent Neural Networks.,http://arxiv.org/abs/2105.07019v2
Virtualband: Interacting with Stylistically Consistent Agents.,http://arxiv.org/abs/cond-mat/0209445v2
Sparse Modeling for Artist Identification: Exploiting Phase Information and Vocal Separation.,http://arxiv.org/abs/2010.01376v1
Automatic Transcription of Turkish Makam Music.,http://arxiv.org/abs/2004.07171v1
Local Group Delay Based Vibrato and Tremolo Suppression for Onset Detection.,http://arxiv.org/abs/2003.10806v1
Beyond NMF: Time-Domain Audio Source Separation without Phase Reconstruction.,http://arxiv.org/abs/1605.07469v1
Beta Process Sparse Nonnegative Matrix Factorization for Music.,http://arxiv.org/abs/2010.16223v1
Semi-Supervised Polyphonic Source Identification using PLCA Based Graph Clustering.,http://arxiv.org/abs/1111.6410v2
An Experiment about Estimating the Number of Instruments in Polyphonic Music: A Comparison Between Internet and Laboratory Results.,http://arxiv.org/abs/1508.01774v2
Social-EQ: Crowdsourcing an Equalization Descriptor Map.,http://arxiv.org/abs/1503.03514v1
Taste Over Time: The Temporal Dynamics of User Preferences.,http://arxiv.org/abs/2105.08089v1
Exploring the Relation Between Novelty Aspects and Preferences in Music Listening.,http://arxiv.org/abs/2009.01715v2
Spectral Correlates in Emotion Labeling of Sustained Musical Instrument Tones.,http://arxiv.org/abs/2008.01810v1
Design and Evaluation of Semantic Mood Models for Music Recommendation using Editorial Tags.,http://arxiv.org/abs/1308.1817v1
Low-Rank Representation of Both Singing Voice and Music Accompaniment Via Learned Dictionaries.,http://arxiv.org/abs/1801.03815v1
Incremental Visualization of Growing Music Collections.,http://arxiv.org/abs/1802.02351v1
Evaluating OMR on the Early Music Online Collection.,http://arxiv.org/abs/2108.01769v1
Sparse Music Decomposition onto a MIDI Dictionary Driven by Statistical Music Knowledge.,http://arxiv.org/abs/1812.07126v1
Annotating Works for Music Education: Propositions for a Musical Forms and Structures Ontology and a Musical Performance Ontology.,http://arxiv.org/abs/2009.07755v1
Chord-Sequence-Factory: A Chord Arrangement System Modifying Factorized Chord Sequence Probabilities.,http://arxiv.org/abs/1808.05335v1
Music Cut and Paste: A Personalized Musical Medley Generating System.,http://arxiv.org/abs/1709.04384v2
A Meta-Analysis of the MIREX Structural Segmentation Task.,http://arxiv.org/abs/1704.08729v1
A Deterministic Annealing EM Algorithm for Automatic Music Transcription.,http://arxiv.org/abs/2108.10689v1
Modelling the Speed of Music using Features from Harmonic/Percussive Separated Audio.,http://arxiv.org/abs/1807.11298v1
Inter and Intra Item Segmentation of Continuous Audio Recordings of Carnatic Music for Archival.,http://arxiv.org/abs/1711.02318v1
Essentia: An Audio Analysis Library for Music Information Retrieval.,http://arxiv.org/abs/2003.07393v1
Motif Spotting in an Alapana in Carnatic Music.,http://arxiv.org/abs/2008.00198v1
Empirical Analysis of Track Selection and Ordering in Electronic Dance Music using Audio Feature Extraction.,http://arxiv.org/abs/2009.08027v2
Improving the Reliability of Music Genre Classification using Rejection and Verification.,http://arxiv.org/abs/2002.00251v1
Robotaba Guitar Tablature Transcription Framework.,http://arxiv.org/abs/2107.14653v1
Comparing Onset Detection &amp; Perceptual Attack Time.,http://arxiv.org/abs/1812.03066v1
K-Pop Genres: A Cross-Cultural Exploration.,http://arxiv.org/abs/2107.08075v1
Coupling Social Network Services and Support for Online Communities in Codes Environment.,http://arxiv.org/abs/1509.02238v1
Basic Evaluation of Auditory Temporal Stability (Beats): A Novel Rationale and Implementation.,http://arxiv.org/abs/1801.06853v2
SIARCT-CFP: Improving Precision and the Discovery of Inexact Musical Patterns in Point-Set Representations.,http://arxiv.org/abs/1906.11783v1
A Machine Learning Approach to Voice Separation in Lute Tablature.,http://arxiv.org/abs/1805.01201v1
A Methodology for the Comparison of Melodic Generation Models Using Meta-Melo.,http://arxiv.org/abs/2102.08232v1
An Extended Audio Fingerprint Method with Capabilities for Similar Music Detection.,http://arxiv.org/abs/2101.00132v1
AutoMashUpper: An Automatic Multi-Song Mashup System.,http://arxiv.org/abs/1003.4418v1
Learning Binary Codes For Efficient Large-Scale Music Similarity Search.,http://arxiv.org/abs/2109.01815v1
"On Cultural, Textual and Experiential Aspects of Music Mood.",http://arxiv.org/abs/2108.00768v1
"Sparse Cepstral, Phase Codes for Guitar Playing Technique Classification.",http://arxiv.org/abs/1806.04374v2
Automated Detection of Single- and Multi-Note Ornaments in Irish Traditional Flute Playing.,http://arxiv.org/abs/1009.2000v1
The Kiki-Bouba Challenge: Algorithmic Composition for Content-based MIR Research and Development.,http://arxiv.org/abs/1306.3953v1
Transfer Learning by Supervised Pre-training for Audio-based Music Classification.,http://arxiv.org/abs/1906.08615v1
Estimating Musical Time Information from Performed MIDI Files.,http://arxiv.org/abs/2002.09748v1
Estimation of the Direction of Strokes and Arpeggios.,http://arxiv.org/abs/2104.09907v2
Predicting Expressive Dynamics in Piano Performances using Neural Networks.,http://arxiv.org/abs/1709.03629v1
An RNN-based Music Language Model for Improving Automatic Music Transcription.,http://arxiv.org/abs/1909.10200v2
Towards Modeling Texture in Symbolic Data.,http://arxiv.org/abs/1705.10041v3
Computational Models for Perceived Melodic Similarity in A Cappella Flamenco Singing.,http://arxiv.org/abs/1509.04956v1
The VIS Framework: Analyzing Counterpoint in Large Datasets.,http://arxiv.org/abs/astro-ph/0208140v1
Hierarchical Approach to Detect Common Mistakes of Beginner Flute Players.,http://arxiv.org/abs/1409.6768v1
Robust Joint Alignment of Multiple Versions of a Piece of Music.,http://arxiv.org/abs/1604.08516v1
Formalizing the Problem of Music Description.,http://arxiv.org/abs/math-ph/0309059v1
An Association-based Approach to Genre Classification in Music.,http://arxiv.org/abs/2110.04654v1
Multiple Viewpiont Melodic Prediction with Fixed-Context Neural Networks.,http://arxiv.org/abs/2009.04172v1
Verovio: A library for Engraving MEI Music Notation into SVG.,http://arxiv.org/abs/1311.6712v1
Music Classification by Transductive Learning Using Bipartite Heterogeneous Networks.,http://arxiv.org/abs/1704.05665v1
Automatic Melody Transcription based on Chord Transcription.,http://arxiv.org/abs/1510.04039v1
Audio-to-score Alignment at the Note Level for Orchestral Recordings.,http://arxiv.org/abs/2008.02734v1
A Compositional Hierarchical Model for Music Information Retrieval.,http://arxiv.org/abs/2011.11970v1
An Analysis and Evaluation of Audio Features for Multitrack Music Mixtures.,http://arxiv.org/abs/2008.02070v1
Detecting Drops in Electronic Dance Music: Content based approaches to a socially significant music event.,http://arxiv.org/abs/2009.08027v2
Towards Automatic Content-Based Separation of DJ Mixes into Single Tracks.,http://arxiv.org/abs/1909.12605v2
MedleyDB: A Multitrack Dataset for Annotation-Intensive MIR Research.,http://arxiv.org/abs/2008.02070v1
Melody Extraction from Polyphonic Audio of Western Opera: A Method based on Detection of the Singer's Formant.,http://arxiv.org/abs/1804.09202v1
Codebook-based Scalable Music Tagging with Poisson Matrix Factorization.,http://arxiv.org/abs/1308.1817v1
Template Adaptation for Improving Automatic Music Transcription.,http://arxiv.org/abs/1611.08131v1
Note-level Music Transcription by Maximum Likelihood Sampling.,http://arxiv.org/abs/1106.4863v1
Drum Transcription via Classification of Bar-Level Rhythmic Patterns.,http://arxiv.org/abs/1906.03697v2
Developing Tonal Perception through Unsupervised Learning.,http://arxiv.org/abs/1804.02257v2
Exploiting Instrument-wise Playing/Non-Playing Labels for Score Synchronization of Symphonic Music.,http://arxiv.org/abs/1901.04831v1
Multi-Strategy Segmentation of Melodies.,http://arxiv.org/abs/1810.12947v2
A Data Set for Computational Studies of Schenkerian Analysis.,http://arxiv.org/abs/cs/0608107v3
Systematic Multi-scale Set-class Analysis.,http://arxiv.org/abs/1907.09685v1
Spotting a Query Phrase from Polyphonic Music Audio Signals Based on Semi-supervised Nonnegative Matrix Factorization.,http://arxiv.org/abs/1808.00563v1
Bayesian Audio Alignment based on a Unified Model of Music Composition and Performance.,http://arxiv.org/abs/2010.03190v1
Automatic Set List Identification and Song Segmentation for Full-Length Concert Videos.,http://arxiv.org/abs/1605.04850v1
On Inter-rater Agreement in Audio Music Similarity.,http://arxiv.org/abs/1907.09756v1
Emotional Predisposition of Musical Instrument Timbres with Static Spectra.,http://arxiv.org/abs/2008.01810v1
Panako - A Scalable Acoustic Fingerprinting System Handling Time-Scale and Pitch Modification.,http://arxiv.org/abs/1304.0793v1
Perceptual Analysis of the F-Measure to Evaluate Section Boundaries in Music.,http://arxiv.org/abs/1902.10903v1
Keyword Spotting in A-capella Singing.,http://arxiv.org/abs/2110.07749v2
The Importance of F0 Tracking in Query-by-singing-humming.,http://arxiv.org/abs/hep-ph/0009168v1
Vocal Separation using Singer-Vowel Priors Obtained from Polyphonic Audio.,http://arxiv.org/abs/2009.04172v1
Improving Query by Tapping via Tempo Alignment.,http://arxiv.org/abs/1602.01665v1
Automatic Instrument Classification of Ethnomusicological Audio Recordings.,http://arxiv.org/abs/2104.09064v1
Music Analysis as a Smallest Grammar Problem.,http://arxiv.org/abs/1912.12362v1
Frame-Level Audio Segmentation for Abridged Musical Works.,http://arxiv.org/abs/2108.12955v1
Creating a Corpus of Jingju (Beijing Opera) Music and Possibilities for Melodic Analysis.,http://arxiv.org/abs/1708.03986v1
Modeling Temporal Structure in Music for Emotion Prediction using Pairwise Comparisons.,http://arxiv.org/abs/2002.09021v1
Musical Structural Analysis Database Based on GTTM.,http://arxiv.org/abs/1309.4345v1
Theoretical Framework of A Computational Model of Auditory Memory for Music Emotion Recognition.,http://arxiv.org/abs/2101.02051v1
Improving Music Structure Segmentation using lag-priors.,http://arxiv.org/abs/1503.06666v3
Study of the Similarity between Linguistic Tones and Melodic Pitch Contours in Beijing Opera Singing.,http://arxiv.org/abs/1912.12010v1
A Proximity Grid Optimization Method to Improve Audio Search for Sound Design.,http://arxiv.org/abs/2110.09223v1
Introducing a Dataset of Emotional and Color Responses to Music.,http://arxiv.org/abs/1306.2597v1
In-depth Motivic Analysis based on Multiparametric Closed Pattern and Cyclic Sequence Mining.,http://arxiv.org/abs/1604.00300v1
MIR_EVAL: A Transparent Implementation of Common MIR Metrics.,http://arxiv.org/abs/1605.07008v1
Computational Modeling of Induced Emotion Using GEMS.,http://arxiv.org/abs/1808.08447v1
Cognition-inspired Descriptors for Scalable Cover Song Retrieval.,http://arxiv.org/abs/1808.10351v1
A Cross-Cultural Study on the Mood of K-POP Songs.,http://arxiv.org/abs/2108.00768v1
Cadence Detection in Western Traditional Stanzaic Songs using Melodic and Textual Features.,http://arxiv.org/abs/1806.03352v1
Discovering Typical Motifs of a Raga from One-Liners of Songs in Carnatic Music.,http://arxiv.org/abs/1711.11357v1
Analyzing Song Structure with Spectral Clustering.,http://arxiv.org/abs/2009.02554v1
Identifying Polyphonic Musical Patterns From Audio Recordings Using Music Segmentation Techniques.,http://arxiv.org/abs/1606.01039v2
Boundary Detection in Music Structure Analysis using Convolutional Neural Networks.,http://arxiv.org/abs/2008.07527v1
"Tracking the ""Odd"": Meter Inference in a Culturally Diverse Music Corpus.",http://arxiv.org/abs/2101.11916v1
Transcription and Recognition of Syllable based Percussion Patterns: The Case of Beijing Opera.,http://arxiv.org/abs/2106.00497v1
Taste Space Versus the World: an Embedding Analysis of Listening Habits and Geography.,http://arxiv.org/abs/1705.09439v1
Enhancing Collaborative Filtering Music Recommendation by Balancing Exploration and Exploitation.,http://arxiv.org/abs/1901.08907v1
Improving Music Recommender Systems: What Can We Learn from Research on Music Tastes?,http://arxiv.org/abs/2010.10276v2
Social Music in Cars.,http://arxiv.org/abs/1808.03845v2
A Combined Thematic and Acoustic Approach for a Music Recommendation Service in TV Commercials.,http://arxiv.org/abs/1609.02451v2
Are Poetry and Lyrics All That Different?,http://arxiv.org/abs/1901.05227v1
Singing-Voice Separation from Monaural Recordings using Deep Recurrent Neural Networks.,http://arxiv.org/abs/1502.04149v4
Impact of Listening Behavior on Music Recommendation.,http://arxiv.org/abs/1705.09439v1
Towards Seamless Network Music Performance: Predicting an Ensemble's Expressive Decisions for Distributed Performance.,http://arxiv.org/abs/2106.12070v1
Detection of Motor Changes in Violin Playing by EMG Signals.,http://arxiv.org/abs/1908.10137v1
Automatic Key Partition Based on Tonal Organization Information of Classical Music.,http://arxiv.org/abs/1905.11959v1
Bayesian Singing-Voice Separation.,http://arxiv.org/abs/1302.7280v1
Probabilistic Extraction of Beat Positions from a Beat Activation Function.,http://arxiv.org/abs/cond-mat/0108425v1
Geographical Region Mapping Scheme Based on Musical Preferences.,http://arxiv.org/abs/1603.01393v1
On Comparative Statistics for Labelling Tasks: What can We Learn from MIREX ACE 2013?,http://arxiv.org/abs/1301.3195v7
Merged-Output HMM for Piano Fingering of Both Hands.,http://arxiv.org/abs/2111.08009v1
Modeling Rhythm Similarity for Electronic Dance Music.,http://arxiv.org/abs/2011.13062v1
MuSe: A Music Recommendation Management System.,http://arxiv.org/abs/1208.2750v1
Tempo- and Transposition-invariant Identification of Piece and Score Position.,http://arxiv.org/abs/1211.2755v1
Gender Identification and Age Estimation of Users Based on Music Metadata.,http://arxiv.org/abs/2009.01715v2
Information-Theoretic Measures of Music Listening Behaviour.,http://arxiv.org/abs/2101.11916v1
Evaluation Framework for Automatic Singing Transcription.,http://arxiv.org/abs/2004.07171v1
What is the Effect of Audio Quality on the Robustness of MFCCs and Chroma Features?,http://arxiv.org/abs/1612.05065v1
Music Information Behaviors and System Preferences of University Students in Hong Kong.,http://arxiv.org/abs/1309.4345v1
LyricsRadar: A Lyrics Retrieval System Based on Latent Topics of Lyrics.,http://arxiv.org/abs/2010.14709v1
JAMS: A JSON Annotated Music Specification for Reproducible MIR Research.,http://arxiv.org/abs/1201.6251v1
On The Changing Regulations of Privacy and Personal Information in MIR.,http://arxiv.org/abs/cs/0109098v2
A Multi-model Approach to Beat Tracking Considering Heterogeneous Music Styles.,http://arxiv.org/abs/2111.00704v1
Extending Harmonic-Percussive Separation of Audio Signals.,http://arxiv.org/abs/1907.01160v1
Singing Voice Separation Using Spectro-Temporal Modulation Features.,http://arxiv.org/abs/2107.00231v1
Harmonic-Temporal Factor Decomposition Incorporating Music Prior Information for Informed Monaural Source Separation.,http://arxiv.org/abs/1802.03156v3
Design And Evaluation of Onset Detectors using Different Fusion Policies.,http://arxiv.org/abs/1905.11622v2
Evaluating the Evaluation Measures for Beat Tracking.,http://arxiv.org/abs/1804.00118v1
Improving Rhythmic Transcriptions via Probability Models Applied Post-OMR.,http://arxiv.org/abs/2010.09969v1
Classifying EEG Recordings of Rhythm Perception.,http://arxiv.org/abs/cs/0504058v1
"Ten Years of MIREX (Music Information Retrieval Evaluation eXchange): Reflections, Challenges and Opportunities.",http://arxiv.org/abs/1109.6221v1
Music Structure Analysis Based on an LSTM-HSMM Hybrid Model,http://arxiv.org/abs/1809.04281v3
Multi-Instrument Music Transcription Based on Deep Spherical Clustering of Spectrograms and Pitchgrams,http://arxiv.org/abs/2001.09989v2
Improving Polyphonic Music Models with Feature-rich Encoding,http://arxiv.org/abs/1911.11775v3
Practical Evaluation of Repeated Recommendations in Personalized Music Discovery,http://arxiv.org/abs/2012.00927v1
Modeling and Estimating Local Tempo: A Case Study on Chopin's Mazurkas,http://arxiv.org/abs/1907.06244v1
Classifying Leitmotifs in Recordings of Operas by Richard Wagner,http://arxiv.org/abs/1811.02923v1
Composer Style Classification of Piano Sheet Music Images Using Language Model Pretraining,http://arxiv.org/abs/2007.14587v1
Using Weakly Aligned Score-Audio Pairs to Train Deep Chroma Models for Cross-Modal Music Retrieval,http://arxiv.org/abs/1612.05065v1
Camera-Based Piano Sheet Music Identification,http://arxiv.org/abs/2007.14579v1
User Perceptions Underlying  Social Music Behavior,http://arxiv.org/abs/1906.12324v1
Perceptual vs. automated judgements of music copyright infringement,http://arxiv.org/abs/1906.06355v1
SuPP & MaPP: Adaptable Structure-Based Representations for MIR Tasks,http://arxiv.org/abs/1602.07857v4
Automatic Figured Bass Annotation Using the New Bach Chorales Figured Bass Dataset,http://arxiv.org/abs/2104.00353v2
A corpus-based analysis of syncopated patterns in ragtime,http://arxiv.org/abs/physics/9806032v2
A Method for Analysis of Shared Structure in Large Music Collections using Techniques from Genetic Sequencing and Graph Theory,http://arxiv.org/abs/1812.07126v1
Investigating U-Nets with various Intermediate Blocks for Spectrogram-based Singing Voice Separation,http://arxiv.org/abs/1912.02591v3
The Rhythmic Dictator: Does Gamification of Rhythm Dictation Exercises Help?,http://arxiv.org/abs/1202.4578v1
Learning to Read and Follow Music in Complete Score Sheet Images,http://arxiv.org/abs/1807.06391v1
Learning to Denoise Historical Music,http://arxiv.org/abs/2008.02027v1
Discourse not Dualism: An Interdisciplinary Dialogue on Sonata Form in Beethoven's Early Piano Sonatas,http://arxiv.org/abs/1706.09088v2
Play Music: User Motivations and Expectations for Non-Specific Voice Queries,http://arxiv.org/abs/2006.10168v1
Measuring disruption in song similarity networks,http://arxiv.org/abs/1605.04784v2
Uncovering audio patterns in music with Nonnegative Tucker Decomposition for structural segmentation,http://arxiv.org/abs/2104.08580v1
The Jazz Harmony Treebank,http://arxiv.org/abs/1809.04755v1
A Chorus-Section Detection Method for Lyrics Text,http://arxiv.org/abs/2106.01960v1
POP909: A Pop-Song Dataset for Music Arrangement Generation,http://arxiv.org/abs/2008.07142v1
Chord Jazzification: Learning Jazz Interpretations of Chord Symbols,http://arxiv.org/abs/1411.5639v1
Learning Interpretable Representation for Controllable Polyphonic Music Generation ,http://arxiv.org/abs/2008.07122v1
Connective Fusion: Learning Transformational Joining of Sequences with Application to Melody Creation,http://arxiv.org/abs/2110.05020v3
PIANOTREE VAE: Structured Representation Learning for Polyphonic Music,http://arxiv.org/abs/2008.07118v1
Towards Multimodal MIR: Predicting individual differences from music-induced movement,http://arxiv.org/abs/2007.10695v1
Attributes-Aware Deep Music Transformation,http://arxiv.org/abs/1709.00740v1
Multilingual lyrics-to-audio alignment,http://arxiv.org/abs/1905.05547v2
Hierarchical Musical Instrument Separation,http://arxiv.org/abs/2109.00663v1
